\ EQUINOX = 'J2000.0'
|   ra     |   dec    |  major |
|   double |   double | double |
  33.89513   -6.55139     5.0
  33.6095    -4.23305     5.0
  32.65929  -10.07633     5.0
  32.82713   -9.86427     5.0
  32.37917   -6.37684     5.0
  32.29279   -5.43011     5.0
  32.94087   -4.82006     5.0
  31.98304   -4.41341     5.0
  30.80412   -6.04563     5.0
  30.69258   -4.13571     5.0
  30.69342   -4.01222     5.0
  35.88917   -8.47218     5.0
  35.41175   -4.48197     5.0
  35.62492   -3.87688     5.0
  36.65454   -8.52167     5.0
  36.36688   -9.35231     5.0
  35.95496   -6.11922     5.0
  36.37075   -5.91766     5.0
  36.16213   -5.76612     5.0
  36.28483   -5.3921      5.0
  36.29463   -4.84248     5.0
  38.11142   -5.96424     5.0
  38.30588   -5.07329     5.0
  37.92875   -4.88681     5.0
  38.48246   -4.76219     5.0
  30.82808   -7.63584     5.0
  35.92083   -4.02211     5.0
  37.16025   -4.03447     5.0
  344.09237  -34.88054     5.0
  343.38587  -33.71781     5.0
  350.01962  -32.35935     5.0
  347.44408  -31.04443     5.0
  340.90525  -30.26776     5.0
  341.34442  -30.14947     5.0
  343.38537  -33.71829     5.0
  349.60625  -33.45856     5.0
  345.68529  -33.36733     5.0
  346.05408  -33.30514     5.0
  342.77721  -33.04329     5.0
  341.93799  -32.92324     5.0
  346.47717  -32.81103     5.0
  343.18829  -32.36551     5.0
  342.86779  -32.27196     5.0
  342.57587  -31.90962     5.0
  342.12237  -31.71619     5.0
  342.01071  -31.37594     5.0
  350.69167  -31.32483     5.0
  346.66158  -31.16843     5.0
  346.66237  -31.16836     5.0
  346.36892  -31.04973     5.0
  340.21004  -30.82531     5.0
  343.978    -30.75893     5.0
  344.23937  -30.36704     5.0
