,cntr_01,dist_x,pang_x,ra_01,dec_01,major_01,designation,ra_x,dec_x,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,cntr,source_id,coadd_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,rel,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w3cc_map,w3cc_map_str,w4cc_map,w4cc_map_str,best_use_cntr,ngrp,w1flux,w1sigflux,w1sky,w1sigsk,w1conf,w2flux,w2sigflux,w2sky,w2sigsk,w2conf,w3flux,w3sigflux,w3sky,w3sigsk,w3conf,w4flux,w4sigflux,w4sky,w4sigsk,w4conf,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w3mag,w3sigm,w3flg,w3mcor,w4mag,w4sigm,w4flg,w4mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w3mag_1,w3sigm_1,w3flg_1,w4mag_1,w4sigm_1,w4flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w3mag_2,w3sigm_2,w3flg_2,w4mag_2,w4sigm_2,w4flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w3mag_3,w3sigm_3,w3flg_3,w4mag_3,w4sigm_3,w4flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w3mag_4,w3sigm_4,w3flg_4,w4mag_4,w4sigm_4,w4flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w3mag_5,w3sigm_5,w3flg_5,w4mag_5,w4sigm_5,w4flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w3mag_6,w3sigm_6,w3flg_6,w4mag_6,w4sigm_6,w4flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w3mag_7,w3sigm_7,w3flg_7,w4mag_7,w4sigm_7,w4flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,w3mag_8,w3sigm_8,w3flg_8,w4mag_8,w4sigm_8,w4flg_8,w1magp,w1sigp1,w1sigp2,w1k,w1ndf,w1mlq,w1mjdmin,w1mjdmax,w1mjdmean,w2magp,w2sigp1,w2sigp2,w2k,w2ndf,w2mlq,w2mjdmin,w2mjdmax,w2mjdmean,w3magp,w3sigp1,w3sigp2,w3k,w3ndf,w3mlq,w3mjdmin,w3mjdmax,w3mjdmean,w4magp,w4sigp1,w4sigp2,w4k,w4ndf,w4mlq,w4mjdmin,w4mjdmax,w4mjdmean,rho12,rho23,rho34,q12,q23,q34,xscprox,w1rsemi,w1ba,w1pa,w1gmag,w1gerr,w1gflg,w2rsemi,w2ba,w2pa,w2gmag,w2gerr,w2gflg,w3rsemi,w3ba,w3pa,w3gmag,w3gerr,w3gflg,w4rsemi,w4ba,w4pa,w4gmag,w4gerr,w4gflg,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,htm20,ra_y,dec_y,z1,z2,spec_type
0,1.0,1.03507,-34.518443,33.895,-6.55139,5.0,J021534.79-063304.1,33.894966,-6.5511531,0.1311,0.1136,-0.011,170.9149496,-61.31561,29.3086501,-18.9689997,806.981,755.725,3.3400610135100006e+17,0334m061_ac51-000056,0334m061_ac51,56.0,15.367,0.05,21.6,1.467,14.897,0.074,14.7,0.9599,12.85,,-0.3,0.9776,9.101,,-0.2,1.013,1.123,2.0,1.0,0.0,0.0,0.0,0.0,0000,,,,,,,,,,,,,,,,0000,,0.0,nnnn,AAUU,3.0,0100,35.0,35.0,23.0,36.0,0.0,24.0,0.0,24.0,36.878,37.079,27.094,26.901,0.0,,0.0,,0.0,,0.0,,3.3400610135100006e+17,0.0,113.03,5.2255,14.22,2.89,0.16,69.393,4.7161,41.505,3.995,0.499,-14.937,57.412,2510.041,30.387,4.943,-3.0584,18.14,788.505,11.227,3.384,14.039,0.017,1.0,0.261,13.68,0.029,1.0,0.319,11.665,,32.0,0.825,8.45,,32.0,0.576,15.065,0.025,1.0,14.756,0.042,1.0,13.023,,32.0,9.458,,32.0,14.3,0.017,1.0,13.999,0.029,1.0,12.49,,32.0,9.026,,32.0,13.87,0.015,1.0,13.569,0.026,1.0,12.092,,32.0,8.681,,32.0,13.642,0.015,1.0,13.332,0.026,1.0,12.547,0.526,1.0,8.386,,32.0,13.515,0.016,1.0,13.201,0.027,1.0,11.644,,32.0,8.126,,32.0,13.428,0.017,1.0,13.119,0.029,1.0,11.54,,32.0,7.89,,32.0,13.351,0.018,1.0,13.056,0.032,1.0,11.468,,32.0,7.674,,32.0,13.266,0.019,1.0,12.988,0.034,1.0,11.378,,32.0,7.475,,32.0,15.365,0.168,0.028,0.755,34.0,2.09,55211.38882919,55577.51248623,55401.40343126,14.933,0.378,0.063,0.664,35.0,6.29,55211.38882919,55577.51248623,55401.34355406,,,,0.626,9.0,0.06,55211.38882919,55399.57854896,55321.05599285,,,,0.522,10.0,0.22,55211.38882919,55399.57854896,55321.05599285,4.0,22.0,-59.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,8998045319747.0,33.895,-6.5513900000000005,0.217,0.7490000000000001,PG+ELG
1,3.0,1.339592,101.706458,133.782,-0.7479,5.0,J085507.71-004452.7,133.7821544,-0.7479755,0.0777,0.079,-0.0177,228.9290453,26.830798,136.4738384,-17.4058398,287.706,89.72,1.3311000013510024e+18,1331p000_ac51-002354,1331p000_ac51,2354.0,14.687,0.034,32.0,2.99,14.258,0.048,22.5,1.305,12.05,0.302,3.6,1.0,8.369,,1.5,0.9163,1.719,3.0,1.0,0.0,0.002,0.0,0.0,0900,133.7822171,-0.7480112,0.073,0.0768,-0.015,2046.0,157.0,-1351.0,170.0,7.736,2.524,1.0,0.917,3.627,1N011,0000,,0.0,nnnn,AABU,7.0,0000,27.0,27.0,27.0,27.0,1.0,15.0,0.0,15.0,26.486,26.365,14.968,15.014,0.0,,0.0,,0.0,,0.0,,1.3311000013510024e+18,0.0,211.36,6.5971,13.263,2.978,0.166,124.93,5.5495,35.183,3.784,0.274,239.81,66.613,2185.219,28.956,4.199,30.266,20.454,681.108,10.811,3.664,13.795,0.019,1.0,0.261,13.478,0.034,17.0,0.319,12.164,0.447,1.0,0.825,8.161,,32.0,0.576,14.793,0.026,1.0,14.531,0.053,1.0,12.83,,32.0,9.266,,32.0,14.056,0.019,1.0,13.797,0.034,17.0,12.989,0.447,1.0,8.737,,32.0,13.599,0.016,1.0,13.35,0.026,17.0,12.62,0.412,1.0,8.362,,32.0,13.322,0.016,1.0,13.08,0.024,17.0,12.35,0.398,1.0,8.151,,32.0,13.156,0.016,1.0,12.923,0.024,17.0,12.113,0.385,1.0,8.039,,32.0,13.043,0.017,1.0,12.823,0.025,17.0,11.912,0.378,1.0,7.998,,32.0,12.955,0.018,1.0,12.748,0.026,17.0,11.743,0.377,1.0,7.9,,32.0,12.88,0.019,1.0,12.68,0.028,17.0,11.636,0.393,1.0,7.7,,32.0,14.69,0.135,0.026,0.784,26.0,11.25,55317.91053786,55510.03102009,55403.3514107,14.269,0.217,0.042,0.775,26.0,3.99,55317.91053786,55510.03102009,55403.3514107,12.06,1.033,0.267,0.584,12.0,0.33,55317.91053786,55318.90288397,55318.41334538,9.312,2.257,0.583,0.648,10.0,0.18,55317.91053786,55318.90288397,55318.41334538,-6.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,237183245.0,1.733,-45.7,1.0,16.755,0.143,16.333,0.239,15.417,0.205,10033245188374.0,133.782,-0.7479,0.27,0.268,ELG+PG
2,3.0,4.375733,113.460326,133.782,-0.7479,5.0,J085507.89-004454.1,133.7829051,-0.7483839,0.0704,0.0692,-0.0156,228.9298723,26.8312289,136.4747151,-17.4060144,285.733,4053.351,1.331001601351054e+18,1331m016_ac51-054070,1331m016_ac51,54070.0,14.551,0.03,36.0,7.355,14.081,0.043,25.4,1.962,12.675,0.471,2.3,1.093,8.568,,1.2,1.002,3.356,2.0,0.0,0.0,0.001,0.0,0.0,0900,133.7828396,-0.7483598,0.0771,0.0721,-0.0184,-2218.0,168.0,1655.0,171.0,7.234,1.928,1.096,1.003,3.307,2N014,0000,,1.0,11nn,AACU,7.0,0000,27.0,27.0,27.0,27.0,0.0,15.0,0.0,15.0,26.564,26.355,14.989,14.988,0.0,,0.0,,0.0,,0.0,,1.331001601351054e+18,0.0,239.77,6.6636,12.929,2.862,0.011,147.13,5.7917,35.176,3.745,0.205,134.84,58.488,2185.206,27.001,2.888,22.305,18.491,681.163,10.923,1.951,13.61,0.018,1.0,0.261,13.305,0.029,1.0,0.319,12.314,0.536,1.0,0.825,8.097,,32.0,0.576,14.582,0.024,1.0,14.338,0.046,1.0,12.923,,32.0,9.225,,32.0,13.871,0.018,1.0,13.624,0.029,1.0,13.139,0.536,1.0,8.673,,32.0,13.482,0.016,1.0,13.226,0.024,17.0,12.641,0.437,1.0,8.256,,32.0,13.255,0.016,1.0,13.0,0.022,17.0,12.281,0.389,1.0,7.99,,32.0,13.114,0.017,1.0,12.867,0.023,17.0,12.01,0.367,1.0,7.836,,32.0,13.013,0.018,1.0,12.78,0.024,17.0,11.806,0.36,1.0,7.768,,32.0,12.932,0.019,1.0,12.711,0.026,17.0,11.676,0.372,1.0,7.697,,32.0,12.864,0.02,1.0,12.655,0.028,17.0,11.549,0.381,1.0,7.573,,32.0,14.552,0.16,0.031,0.849,26.0,29.21,55317.91053786,55510.03102009,55403.3514107,14.088,0.261,0.05,0.765,26.0,16.32,55317.91053786,55510.03102009,55403.3514107,12.37,0.998,0.258,0.646,12.0,0.1,55317.91053786,55318.90288397,55318.41334538,9.622,2.908,0.751,0.648,9.0,0.2,55317.91053786,55318.90288397,55318.41334538,30.0,35.0,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,10033245189084.0,133.782,-0.7479,0.27,0.268,ELG+PG
3,4.0,0.555989,23.060798,138.282,-0.66673,5.0,J091307.57-003959.7,138.2815605,-0.6665879,0.0849,0.092,-0.0081,231.556923,30.6967396,140.9311273,-15.9837657,388.267,302.791,1.376100001351e+18,1376p000_ac51-000154,1376p000_ac51,154.0,14.954,0.035,30.9,1.301,14.785,0.067,16.2,0.8828,11.978,0.281,3.9,1.085,8.589,,0.8,0.9385,1.062,1.0,0.0,0.0,0.0,0.0,0.0,0000,138.2815574,-0.6665858,0.1043,0.1119,-0.0113,-262.0,244.0,153.0,269.0,1.297,0.8833,1.086,0.9384,1.061,1N000,0000,,0.0,00nn,AABU,7.0,0000,24.0,24.0,22.0,24.0,1.0,11.0,0.0,11.0,24.508,24.448,10.988,11.191,0.0,,0.0,,0.0,,0.0,,1.376100001351e+18,0.0,165.31,5.3462,14.248,3.022,0.0,76.94,4.7417,36.681,3.763,0.076,256.41,66.28,2244.527,27.643,2.915,17.335,20.401,709.511,10.975,0.365,14.638,0.062,1.0,0.261,14.523,0.08,1.0,0.319,11.529,,32.0,0.825,8.026,,32.0,0.576,15.446,0.073,0.0,15.422,0.098,0.0,12.786,,32.0,9.128,,32.0,14.899,0.062,1.0,14.842,0.08,1.0,12.354,,32.0,8.602,,32.0,14.54,0.058,1.0,14.463,0.073,1.0,12.111,,32.0,8.214,,32.0,14.209,0.053,1.0,14.114,0.067,1.0,11.929,,32.0,7.893,,32.0,13.849,0.046,1.0,13.738,0.058,1.0,11.752,,32.0,7.624,,32.0,13.452,0.038,1.0,13.328,0.047,1.0,11.528,,32.0,7.382,,32.0,13.046,0.03,1.0,12.919,0.038,1.0,11.964,0.511,1.0,7.167,,32.0,12.677,0.025,1.0,12.554,0.031,1.0,11.552,0.402,1.0,7.004,,32.0,14.956,0.124,0.025,0.885,23.0,2.93,55322.14465542,55514.13105209,55418.16550207,14.754,0.178,0.036,0.748,23.0,0.25,55322.14465542,55514.13105209,55418.16550207,11.995,1.015,0.306,0.679,9.0,0.93,55322.14465542,55323.26930456,55322.71599784,9.929,3.492,1.053,0.741,6.0,0.09,55322.14465542,55323.26930456,55322.71599784,16.0,-18.0,-73.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,10517604742793.0,138.282,-0.66673,0.163,0.321,PG+ELG
4,5.0,0.210817,79.073588,129.695,-0.38179,5.0,J083846.92-002254.4,129.6955175,-0.3817789,0.0937,0.1003,0.005,226.2835223,23.4987484,132.2441878,-18.1904191,3066.462,1048.441,1.300100001351016e+18,1300p000_ac51-015843,1300p000_ac51,15843.0,15.284,0.037,29.1,1.128,15.086,0.079,13.8,0.9071,12.358,0.512,2.1,1.043,8.315,,1.3,0.9358,1.006,1.0,0.0,0.0,0.0,0.0,0.0,0000,129.6955191,-0.3817852,0.1138,0.1169,-0.0186,114.0,301.0,-348.0,324.0,1.125,0.9064,1.043,0.936,1.004,1N001,0000,,0.0,00nn,AACU,7.0,0000,23.0,23.0,15.0,23.0,1.0,11.0,0.0,11.0,22.598,23.255,11.195,11.306,0.0,,0.0,,0.0,,0.0,,1.300100001351016e+18,0.0,122.05,4.2014,13.041,2.88,0.263,58.284,4.2311,34.897,3.759,0.147,180.67,85.216,2154.879,30.535,3.268,29.27,22.779,667.856,11.436,2.998,15.086,0.047,1.0,0.261,14.802,0.14,1.0,0.319,12.105,0.468,1.0,0.825,7.561,,32.0,0.576,15.833,0.053,1.0,15.681,0.168,1.0,12.766,,32.0,8.662,,32.0,15.347,0.047,1.0,15.121,0.14,1.0,12.93,0.468,1.0,8.137,,32.0,15.106,0.048,1.0,14.845,0.139,1.0,12.516,0.406,1.0,7.806,,32.0,14.976,0.053,1.0,14.691,0.151,1.0,12.153,0.359,1.0,7.503,,32.0,14.9,0.059,1.0,14.614,0.17,1.0,11.903,0.34,1.0,7.201,,32.0,14.838,0.066,17.0,14.594,0.198,1.0,11.774,0.354,1.0,6.976,,32.0,14.753,0.071,17.0,14.6,0.231,1.0,11.706,0.382,1.0,6.798,,32.0,14.646,0.074,17.0,14.629,0.272,17.0,11.69,0.428,1.0,6.631,,32.0,15.279,0.156,0.033,0.789,22.0,3.04,55313.94115322,55506.1953477,55414.21041304,15.098,0.358,0.075,0.874,22.0,1.05,55313.94115322,55506.1953477,55414.21041304,12.396,1.939,0.585,0.658,6.0,1.18,55313.94115322,55314.93349892,55314.42229439,9.373,2.264,0.683,0.727,6.0,0.18,55313.94115322,55314.93349892,55314.42229439,-32.0,-4.0,-53.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,10034170183873.0,129.695,-0.38179,0.418,0.738,PG+ELG
5,6.0,0.195538,21.605157,136.639,-0.35203,5.0,J090633.32-002107.1,136.63885,-0.3519795,0.0915,0.0984,-0.0052,230.2387317,29.4734733,139.2031511,-16.1851837,728.787,1126.459,1.3611000013510239e+18,1361p000_ac51-023824,1361p000_ac51,23824.0,15.153,0.038,28.5,0.9491,14.847,0.07,15.5,0.8709,11.896,0.317,3.4,1.008,8.728,,0.0,0.8333,0.9097,1.0,0.0,0.0,0.0,0.0,0.0,0000,136.6388483,-0.3519766,0.1062,0.1145,0.0134,-99.0,276.0,197.0,306.0,0.9477,0.8704,1.008,0.8333,0.9092,1N000,0000,,0.0,00nn,AABU,7.0,0000,23.0,23.0,19.0,23.0,0.0,11.0,0.0,11.0,23.488,23.483,11.81,11.909,0.0,,0.0,,0.0,,0.0,,1.3611000013510239e+18,0.0,137.62,4.8222,13.908,3.019,0.017,72.622,4.6751,36.663,3.804,0.121,276.48,80.804,2242.658,29.711,4.082,0.5921,25.27,704.824,12.353,1.37,15.099,0.052,1.0,0.261,14.703,0.116,1.0,0.319,11.541,0.27,1.0,0.825,8.139,,32.0,0.576,15.743,0.054,0.0,15.533,0.133,0.0,13.108,0.383,0.0,9.225,,32.0,15.36,0.052,1.0,15.022,0.116,1.0,12.366,0.27,1.0,8.715,,32.0,15.209,0.06,1.0,14.772,0.121,1.0,11.934,0.237,1.0,8.268,,32.0,15.116,0.068,1.0,14.645,0.133,1.0,11.677,0.231,1.0,7.881,,32.0,15.033,0.075,1.0,14.597,0.153,1.0,11.523,0.241,1.0,7.552,,32.0,14.944,0.082,1.0,14.581,0.179,1.0,11.419,0.258,1.0,7.262,,32.0,14.815,0.084,1.0,14.546,0.202,1.0,11.311,0.272,1.0,7.0,,32.0,14.607,0.08,1.0,14.428,0.209,1.0,11.169,0.274,1.0,6.767,,32.0,15.15,0.187,0.039,0.84,22.0,8.71,55320.55700505,55512.54391163,55420.68385913,14.848,0.265,0.055,0.849,22.0,0.51,55320.55700505,55512.54391163,55420.68385913,11.899,0.844,0.254,0.746,7.0,0.04,55320.55700505,55321.5492228,55321.03807648,11.935,,,0.757,4.0,0.45,55320.55700505,55321.5492228,55321.03807648,5.0,9.0,69.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,237206010.0,0.697,-47.2,1.0,16.92,0.16,16.545,0.27,14.858,,10514961709155.0,136.639,-0.35203,0.282,0.449,PG+ELG
6,7.0,0.208239,-6.252659,132.368,0.1636,5.0,J084928.24+000949.1,132.3677037,0.1636575,0.0805,0.0883,0.0163,227.2455169,26.0824425,134.7832371,-16.9340015,3990.742,2476.485,1.3311000013510395e+18,1331p000_ac51-039397,1331p000_ac51,39397.0,14.917,0.033,32.7,1.704,14.939,0.076,14.2,1.024,12.255,0.403,2.7,1.017,8.542,,-0.6,0.8744,1.224,2.0,1.0,0.0,0.0,0.0,0.0,0000,132.3677064,0.1636543,0.0867,0.0932,0.0099,220.0,221.0,12.0,246.0,2.566,1.109,1.018,0.875,1.541,1N001,0000,,0.0,nnnn,AACU,7.0,0000,22.0,22.0,16.0,22.0,1.0,11.0,0.0,11.0,21.844,22.482,11.301,11.239,0.0,,0.0,,0.0,,0.0,,1.3311000013510395e+18,0.0,171.13,5.2259,13.861,2.933,0.062,66.727,4.6891,35.916,3.864,0.124,198.53,73.772,2217.666,28.045,0.183,-17.595,30.34,692.943,12.241,0.407,14.443,0.022,1.0,0.261,14.442,0.072,1.0,0.319,11.543,,32.0,0.825,8.536,,32.0,0.576,15.304,0.028,1.0,15.404,0.093,1.0,12.883,,32.0,9.526,,32.0,14.704,0.022,1.0,14.761,0.072,1.0,12.368,,32.0,9.112,,32.0,14.311,0.021,1.0,14.356,0.064,1.0,12.081,,32.0,8.787,,32.0,14.029,0.02,1.0,14.08,0.062,1.0,11.997,,32.0,8.516,,32.0,13.843,0.021,1.0,13.9,0.063,1.0,12.021,,32.0,8.279,,32.0,13.736,0.022,1.0,13.799,0.068,1.0,12.017,,32.0,9.687,,32.0,13.669,0.024,1.0,13.759,0.076,1.0,11.942,,32.0,7.765,,32.0,13.62,0.025,1.0,13.758,0.087,1.0,11.942,,32.0,7.542,,32.0,14.917,0.153,0.033,0.857,21.0,8.94,55316.32301396,55508.44375311,55412.38341282,14.949,0.184,0.039,0.646,21.0,0.37,55316.32301396,55508.44375311,55412.38341282,12.257,1.449,0.437,0.653,6.0,0.91,55316.32301396,55317.31523233,55316.80408568,,,,0.582,5.0,0.01,55316.32301396,55317.31523233,55316.80408568,36.0,-23.0,-8.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16012188576226.0,132.368,0.1636,0.128,0.603,PG+ELG
7,8.0,0.834679,-30.535703,132.506,0.0425,5.0,J085001.40+000233.7,132.5058422,0.0426997,0.0865,0.0908,-0.0081,227.439617,26.1401988,134.9573529,-17.0113324,3629.103,2159.796,1.331100001351037e+18,1331p000_ac51-036958,1331p000_ac51,36958.0,15.081,0.036,30.4,0.9977,14.793,0.065,16.7,0.8927,11.772,0.317,3.4,0.8667,8.25,,1.3,0.9189,0.9246,1.0,0.0,0.0,0.0,0.0,0.0,0000,132.5058345,0.0427078,0.1005,0.1053,-0.003,-375.0,256.0,332.0,278.0,0.9936,0.8886,0.8671,0.919,0.922,1N000,0000,,0.0,00nn,AABU,7.0,0000,23.0,23.0,20.0,23.0,0.0,11.0,0.0,11.0,24.237,24.036,10.985,10.795,0.0,,0.0,,0.0,,0.0,,1.331100001351037e+18,0.0,147.05,4.8407,13.338,2.866,0.088,76.381,4.5628,35.731,3.701,0.047,309.75,90.566,2210.468,31.571,0.706,30.699,24.367,689.969,11.956,1.455,14.901,0.045,0.0,0.261,14.889,0.147,0.0,0.319,11.739,0.336,0.0,0.825,8.232,,32.0,0.576,15.605,0.048,0.0,15.615,0.152,0.0,13.167,0.415,0.0,9.125,,32.0,15.162,0.045,0.0,15.208,0.147,0.0,12.564,0.336,0.0,8.808,,32.0,14.965,0.049,0.0,15.108,0.174,0.0,12.243,0.324,0.0,10.81,,32.0,14.833,0.054,1.0,15.105,0.214,1.0,12.105,0.354,1.0,8.362,,32.0,14.671,0.056,1.0,15.045,0.243,1.0,12.118,0.431,1.0,8.105,,32.0,14.449,0.053,1.0,14.889,0.248,1.0,11.489,,32.0,7.871,,32.0,14.227,0.05,1.0,14.728,0.248,17.0,11.529,,32.0,7.657,,32.0,14.064,0.05,1.0,14.679,0.273,17.0,11.564,,32.0,7.46,,32.0,15.085,0.107,0.022,0.858,22.0,0.68,55316.4551909,55508.57605719,55408.35355052,14.751,0.231,0.048,0.782,21.0,0.36,55316.4551909,55508.57605719,55408.35355052,11.776,0.591,0.178,0.741,9.0,0.06,55316.4551909,55317.4475366,55316.90631501,8.911,1.176,0.355,0.712,7.0,0.11,55316.4551909,55317.4475366,55316.90631501,-22.0,-22.0,-33.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16012179211626.0,132.506,0.0425,0.31,0.27,ELG+PG
8,9.0,0.248519,18.671127,132.61,0.11972,5.0,J085026.43+000711.2,132.6101521,0.1197854,0.0791,0.0846,-0.008,227.4245919,26.2691987,135.0393359,-16.9080201,3356.011,2361.62,1.331100001351037e+18,1331p000_ac51-036944,1331p000_ac51,36944.0,14.901,0.034,32.0,1.077,14.66,0.059,18.3,0.823,11.768,,1.7,0.8498,8.981,,-0.3,0.8866,0.9199,1.0,0.0,0.0,0.0,0.0,0.0,0000,132.6101544,0.1197838,0.0866,0.0922,0.0053,143.0,221.0,-83.0,243.0,1.074,0.8246,0.8497,0.8866,0.9195,1N000,0000,,0.0,00nn,AAUU,3.0,0000,23.0,23.0,21.0,23.0,0.0,11.0,0.0,11.0,24.347,24.808,11.849,12.369,0.0,,0.0,,0.0,,0.0,,1.331100001351037e+18,0.0,173.59,5.4178,13.502,2.989,0.12,86.283,4.7175,35.591,3.682,0.14,144.94,82.993,2216.313,30.78,7.636,-6.8244,20.249,690.724,10.594,2.74,14.814,0.05,0.0,0.261,14.614,0.118,0.0,0.319,11.504,,32.0,0.825,8.165,,32.0,0.576,15.496,0.053,0.0,15.414,0.13,0.0,12.822,,32.0,9.173,,32.0,15.075,0.05,0.0,14.933,0.118,0.0,12.329,,32.0,8.741,,32.0,14.898,0.055,1.0,14.726,0.127,1.0,11.923,,32.0,8.395,,32.0,14.801,0.062,1.0,14.617,0.143,1.0,11.668,,32.0,8.099,,32.0,14.722,0.069,17.0,14.548,0.16,1.0,11.524,,32.0,7.84,,32.0,14.643,0.076,17.0,14.503,0.182,1.0,11.47,,32.0,7.605,,32.0,14.582,0.084,17.0,14.485,0.207,1.0,11.451,,32.0,7.388,,32.0,14.553,0.094,17.0,14.492,0.24,1.0,11.407,,32.0,7.19,,32.0,14.901,0.144,0.03,0.788,22.0,6.82,55316.58762249,55508.70823389,55408.50021623,14.661,0.254,0.053,0.804,22.0,1.29,55316.58762249,55508.70823389,55408.50021623,12.613,1.98,0.597,0.746,5.0,0.48,55316.58762249,55317.57996822,55317.11079683,,,,0.65,3.0,0.6,55316.58762249,55317.57996822,55317.11079683,3.0,11.0,-68.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16012202820061.0,132.61,0.11972000000000001,0.313,0.608,PG+ELG
9,10.0,3.057717,35.879482,134.03,0.15244,5.0,J085607.26+000911.2,134.0302878,0.1531282,0.0937,0.1024,0.0162,228.2046331,27.5077078,136.4505706,-16.4714632,3598.112,2448.917,1.3461000013510374e+18,1346p000_ac51-037313,1346p000_ac51,37313.0,15.283,0.039,28.1,1.674,14.886,0.072,15.1,0.9814,11.517,0.242,4.5,0.9435,8.933,,0.0,1.004,1.209,1.0,0.0,0.0,0.0,0.0,0.0,0000,134.0302925,0.1531377,0.12,0.1301,0.0175,173.0,311.0,406.0,344.0,1.673,0.9804,0.9446,1.004,1.208,1N000,0000,,0.0,00nn,AABU,7.0,0000,23.0,23.0,19.0,23.0,2.0,11.0,0.0,11.0,22.283,22.721,11.065,11.725,0.0,,0.0,,0.0,,0.0,,1.3461000013510374e+18,0.0,122.11,4.3378,13.501,2.956,0.266,70.084,4.6438,36.293,3.663,0.226,391.93,87.443,2236.365,31.604,2.409,0.66114,20.85,700.711,10.997,2.393,15.016,0.065,1.0,0.261,14.664,0.094,1.0,0.319,11.587,0.296,1.0,0.825,8.118,,32.0,0.576,15.771,0.074,0.0,15.489,0.105,0.0,13.006,0.368,0.0,9.306,,32.0,15.277,0.065,1.0,14.983,0.094,1.0,12.412,0.296,1.0,8.694,,32.0,15.065,0.069,1.0,14.79,0.102,1.0,12.128,0.292,1.0,8.255,,32.0,14.957,0.077,1.0,14.699,0.114,1.0,12.006,0.321,1.0,8.026,,32.0,14.863,0.085,1.0,14.611,0.125,1.0,11.989,0.379,1.0,7.925,,32.0,14.745,0.089,1.0,14.525,0.136,1.0,12.029,0.462,1.0,7.886,,32.0,14.604,0.091,1.0,14.442,0.146,1.0,11.307,,32.0,7.815,,32.0,14.435,0.09,1.0,14.317,0.15,1.0,11.255,,32.0,7.667,,32.0,15.292,0.163,0.034,0.806,22.0,3.34,55317.91079253,55510.03089272,55418.11575951,14.808,0.21,0.044,0.796,22.0,3.86,55317.91079253,55510.03089272,55418.11575951,11.509,1.033,0.311,0.797,8.0,2.29,55317.91079253,55318.9030113,55318.3918645,13.386,,,0.892,4.0,0.07,55317.91079253,55318.9030113,55318.3918645,2.0,-26.0,-54.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16011802627322.0,134.03,0.15244000000000002,0.16699999999999998,0.158,PG+ELG
