,cntr_01,dist_x,pang_x,ra_01,dec_01,major_01,designation,ra_x,dec_x,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,cntr,source_id,coadd_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,rel,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w3cc_map,w3cc_map_str,w4cc_map,w4cc_map_str,best_use_cntr,ngrp,w1flux,w1sigflux,w1sky,w1sigsk,w1conf,w2flux,w2sigflux,w2sky,w2sigsk,w2conf,w3flux,w3sigflux,w3sky,w3sigsk,w3conf,w4flux,w4sigflux,w4sky,w4sigsk,w4conf,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w3mag,w3sigm,w3flg,w3mcor,w4mag,w4sigm,w4flg,w4mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w3mag_1,w3sigm_1,w3flg_1,w4mag_1,w4sigm_1,w4flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w3mag_2,w3sigm_2,w3flg_2,w4mag_2,w4sigm_2,w4flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w3mag_3,w3sigm_3,w3flg_3,w4mag_3,w4sigm_3,w4flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w3mag_4,w3sigm_4,w3flg_4,w4mag_4,w4sigm_4,w4flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w3mag_5,w3sigm_5,w3flg_5,w4mag_5,w4sigm_5,w4flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w3mag_6,w3sigm_6,w3flg_6,w4mag_6,w4sigm_6,w4flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w3mag_7,w3sigm_7,w3flg_7,w4mag_7,w4sigm_7,w4flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,w3mag_8,w3sigm_8,w3flg_8,w4mag_8,w4sigm_8,w4flg_8,w1magp,w1sigp1,w1sigp2,w1k,w1ndf,w1mlq,w1mjdmin,w1mjdmax,w1mjdmean,w2magp,w2sigp1,w2sigp2,w2k,w2ndf,w2mlq,w2mjdmin,w2mjdmax,w2mjdmean,w3magp,w3sigp1,w3sigp2,w3k,w3ndf,w3mlq,w3mjdmin,w3mjdmax,w3mjdmean,w4magp,w4sigp1,w4sigp2,w4k,w4ndf,w4mlq,w4mjdmin,w4mjdmax,w4mjdmean,rho12,rho23,rho34,q12,q23,q34,xscprox,w1rsemi,w1ba,w1pa,w1gmag,w1gerr,w1gflg,w2rsemi,w2ba,w2pa,w2gmag,w2gerr,w2gflg,w3rsemi,w3ba,w3pa,w3gmag,w3gerr,w3gflg,w4rsemi,w4ba,w4pa,w4gmag,w4gerr,w4gflg,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,htm20,ra_y,dec_y,z1,z2,spec_type
0,1.0,0.035244,55.820094,140.756,0.84809,5.0,J092301.49+005053.1,140.7562181,0.8480955,0.0853,0.0907,0.0116,231.6193963,33.5976033,142.8724057,-13.7705699,1829.615,303.422,1.4061015013510052e+18,1406p015_ac51-005278,1406p015_ac51,5278.0,15.052,0.035,31.1,0.9617,15.038,0.078,14.0,0.9702,12.156,,0.9,1.101,9.081,,-1.5,0.9977,0.9924,1.0,0.0,0.0,0.0,0.0,0.0,0000,140.7562201,0.8480967,0.0913,0.0975,0.0144,199.0,243.0,95.0,270.0,0.9613,0.9696,1.101,0.9977,0.992,1N000,0000,,0.0,11nn,AAUU,3.0,0000,24.0,24.0,13.0,24.0,0.0,13.0,0.0,13.0,23.278,22.728,12.887,13.174,0.0,,0.0,,0.0,,0.0,,1.4061015013510052e+18,0.0,151.08,4.8631,14.342,2.994,0.0,60.913,4.3535,37.975,3.885,0.15,67.983,74.77,2365.298,30.852,3.571,-28.425,18.474,755.264,10.756,0.0,14.917,0.032,16.0,0.261,15.233,0.233,0.0,0.319,12.009,,32.0,0.825,8.235,,32.0,0.576,15.608,0.034,0.0,15.826,0.217,0.0,13.201,,32.0,9.248,,32.0,15.178,0.032,16.0,15.552,0.233,0.0,12.834,,32.0,8.811,,32.0,14.989,0.035,17.0,15.78,0.37,1.0,12.59,,32.0,8.466,,32.0,14.879,0.04,17.0,15.488,,32.0,12.376,,32.0,8.173,,32.0,14.789,0.046,17.0,15.752,,32.0,12.198,,32.0,7.913,,32.0,14.677,0.05,17.0,15.564,,32.0,12.036,,32.0,7.676,,32.0,14.519,0.052,17.0,15.393,,32.0,11.889,,32.0,7.462,,32.0,14.343,0.053,17.0,15.231,,32.0,11.796,,32.0,7.262,,32.0,15.054,0.151,0.031,0.783,23.0,5.42,55323.99742324,55515.85011446,55412.01541422,15.031,0.478,0.098,0.818,21.0,1.79,55323.99742324,55515.85011446,55412.01541422,13.391,3.636,1.008,0.653,7.0,0.18,55323.99742324,55325.12207234,55324.6029447,,,,0.762,3.0,0.22,55323.99742324,55325.12207234,55324.6029447,43.0,-9.0,37.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,15545860432406.0,140.756,0.84809,0.23800000000000002,0.25,ELG+ELG
1,2.0,0.585729,62.113265,131.75,2.04437,5.0,J084700.04+020240.0,131.7501839,2.0444461,0.0965,0.1021,-0.0024,225.0841229,26.486284,133.6227292,-15.2982678,1647.54,3435.636,1.3151015013510564e+18,1315p015_ac51-056434,1315p015_ac51,56434.0,15.271,0.04,27.3,1.504,14.895,0.07,15.6,0.9461,11.74,0.266,4.1,0.8466,8.782,,-0.2,0.8925,1.105,1.0,0.0,0.0,0.0,0.0,0.0,0000,131.7501743,2.0444491,0.1156,0.123,-0.0116,-365.0,290.0,126.0,316.0,1.498,0.9486,0.8464,0.8925,1.104,1N000,0000,,0.0,00nn,AABU,7.0,0000,25.0,25.0,20.0,25.0,1.0,12.0,0.0,12.0,24.518,24.289,11.897,11.831,0.0,,0.0,,0.0,,0.0,,1.3151015013510564e+18,0.0,123.45,4.5278,14.328,3.0,0.167,69.485,4.4592,36.434,3.871,0.075,319.19,78.105,2303.21,30.709,5.241,-5.8182,24.334,724.906,12.26,4.564,14.877,0.049,1.0,0.261,14.66,0.123,1.0,0.319,11.477,0.269,1.0,0.825,8.455,,32.0,0.576,15.7,0.06,0.0,15.533,0.143,0.0,12.964,0.356,0.0,9.475,,32.0,15.138,0.049,1.0,14.979,0.123,1.0,12.302,0.269,1.0,9.031,,32.0,14.836,0.048,1.0,14.713,0.126,1.0,11.934,0.248,1.0,9.067,,32.0,14.651,0.051,1.0,14.603,0.139,1.0,11.744,0.258,1.0,8.405,,32.0,14.523,0.054,17.0,14.597,0.165,1.0,11.67,0.291,1.0,8.087,,32.0,14.461,0.06,17.0,14.69,0.21,1.0,11.677,0.346,1.0,7.834,,32.0,14.457,0.07,17.0,14.861,0.285,1.0,11.766,0.438,1.0,7.631,,32.0,14.452,0.08,17.0,15.068,0.395,1.0,11.113,,32.0,7.483,,32.0,15.276,0.17,0.034,0.88,24.0,4.66,55315.13252836,55507.38532042,55407.50121842,14.901,0.281,0.056,0.799,24.0,0.55,55315.13252836,55507.38532042,55407.50121842,11.744,0.853,0.246,0.627,9.0,0.38,55315.13252836,55316.25718012,55315.70582696,,,,0.73,4.0,0.07,55315.13252836,55316.25718012,55315.70582696,-29.0,-19.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16015918260853.0,131.75,2.0443700000000002,0.207,0.231,ELG+ELG
2,3.0,1.922476,-167.618187,137.944,2.30107,5.0,J091146.45+021801.9,137.9435554,2.3005484,0.1217,0.134,0.012,228.3928221,31.9674777,139.6599135,-13.2624692,1273.93,141.229,1.3761030013510031e+18,1376p030_ac51-003105,1376p030_ac51,3105.0,15.713,0.047,23.0,1.112,15.381,0.103,10.5,0.9522,11.74,0.252,4.3,1.117,8.62,,0.2,0.9427,1.027,1.0,0.0,0.0,0.002,0.0,0.0,0900,137.9435705,2.3005729,0.1582,0.1724,0.0119,533.0,432.0,825.0,479.0,1.105,0.9508,1.117,0.9426,1.024,1N000,0000,,0.0,0nnn,AABU,7.0,0000,23.0,23.0,6.0,23.0,0.0,11.0,0.0,11.0,22.457,22.493,10.97,10.946,0.0,,0.0,,0.0,,0.0,,1.3761030013510031e+18,0.0,82.188,3.5757,13.777,2.832,0.112,44.427,4.2141,37.686,3.781,0.106,319.2,74.095,2398.928,28.29,7.217,5.2887,25.609,766.358,12.014,0.668,15.51,0.056,1.0,0.261,15.318,0.177,17.0,0.319,11.687,0.423,0.0,0.825,8.505,,32.0,0.576,16.24,0.063,0.0,16.116,0.197,16.0,13.134,0.536,0.0,9.869,,32.0,15.771,0.056,1.0,15.637,0.177,17.0,12.512,0.423,0.0,9.081,,32.0,15.561,0.059,1.0,15.403,0.184,17.0,12.175,0.4,1.0,8.757,,32.0,15.443,0.066,1.0,15.253,0.201,17.0,12.011,0.426,1.0,8.483,,32.0,15.345,0.073,1.0,15.11,0.219,17.0,11.844,0.44,1.0,8.244,,32.0,15.206,0.077,1.0,14.95,0.222,17.0,11.582,0.408,1.0,8.027,,32.0,14.97,0.072,1.0,14.763,0.215,17.0,11.3,0.366,1.0,7.829,,32.0,14.625,0.06,1.0,14.491,0.192,17.0,11.069,0.34,1.0,7.645,,32.0,15.72,0.273,0.057,0.766,22.0,7.59,55320.95442696,55512.94018741,55421.09509438,15.376,0.393,0.082,0.766,22.0,0.25,55320.95442696,55512.94018741,55421.09509438,11.759,0.762,0.23,0.724,9.0,0.43,55320.95442696,55321.94677213,55321.46563122,10.963,8.114,2.446,0.802,4.0,0.08,55320.95442696,55321.94677213,55321.46563122,-7.0,3.0,-28.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,15534295090271.0,137.944,2.30107,0.316,0.381,ELG+ELG
3,4.0,0.59351,53.829939,140.096,2.3343,5.0,J092023.00+022003.8,140.0958432,2.3343973,0.1359,0.1468,0.0162,229.683579,33.8253129,141.7482673,-12.5677461,3557.529,230.141,1.4061030013510106e+18,1406p030_ac51-010610,1406p030_ac51,10610.0,15.894,0.053,20.6,0.9518,15.45,0.106,10.3,0.9535,11.926,,1.7,0.9311,8.856,,-0.5,0.7903,0.9196,1.0,0.0,0.0,0.0,0.0,0.0,0000,140.0958506,2.3343969,0.1631,0.1772,0.0248,386.0,476.0,-21.0,525.0,0.9501,0.9538,0.931,0.7904,0.9192,1N000,0000,,0.0,1nnn,AAUU,3.0,0000,23.0,25.0,8.0,25.0,0.0,12.0,0.0,12.0,25.486,25.561,12.87,12.863,0.0,,0.0,,0.0,,0.0,,1.4061030013510106e+18,0.0,69.583,3.3758,14.39,2.923,0.253,41.687,4.0607,38.329,3.797,0.282,124.42,72.201,2433.398,30.211,4.786,-12.459,22.724,778.974,11.897,1.724,15.783,0.125,0.0,0.261,15.481,0.175,0.0,0.319,11.794,0.436,0.0,0.825,8.524,,32.0,0.576,16.473,0.133,0.0,16.203,0.182,0.0,12.547,,32.0,10.258,,32.0,16.044,0.125,0.0,15.8,0.175,0.0,12.619,0.436,0.0,9.1,,32.0,15.893,0.139,1.0,15.773,0.221,1.0,12.182,0.378,1.0,8.649,,32.0,15.886,0.17,1.0,16.018,0.343,1.0,11.932,0.372,1.0,8.286,,32.0,15.992,0.225,1.0,15.664,,32.0,11.795,0.394,1.0,8.033,,32.0,16.181,0.315,1.0,15.94,,32.0,11.672,0.415,1.0,7.903,,32.0,16.444,0.467,1.0,15.972,,32.0,11.55,0.431,1.0,7.825,,32.0,15.826,,32.0,15.814,,32.0,11.47,0.461,1.0,7.688,,32.0,15.906,0.309,0.062,0.882,24.0,6.91,55322.9391172,55514.79180876,55422.70258309,15.445,0.616,0.123,0.725,23.0,2.4,55322.9391172,55514.79180876,55422.70258309,12.764,1.868,0.539,0.619,7.0,0.28,55322.9391172,55323.93146213,55323.46285833,,,,0.449,6.0,0.08,55322.9391172,55323.93146213,55323.46285833,42.0,-6.0,-24.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,15531978266999.0,140.096,2.3343,0.281,0.086,ELG+ELG
4,5.0,0.436116,-167.561948,129.519,1.39028,5.0,J083804.63+012324.5,129.5193039,1.3901617,0.0856,0.0917,-0.0043,224.5043541,24.2222291,131.5728964,-16.5289912,3527.387,1722.799,1.3001015013510367e+18,1300p015_ac51-036633,1300p015_ac51,36633.0,15.206,0.037,29.2,0.916,14.702,0.057,18.9,0.8069,11.684,0.252,4.3,0.8808,8.957,,-0.4,1.017,0.8871,1.0,0.0,0.0,0.0,0.0,0.0,0000,129.5192992,1.3901627,0.1031,0.1097,-0.0132,-160.0,262.0,41.0,289.0,0.916,0.806,0.8809,1.017,0.8869,1N000,0000,,0.0,00nn,AABU,7.0,0000,26.0,26.0,25.0,26.0,2.0,12.0,0.0,13.0,26.506,26.856,13.869,13.487,0.0,,0.0,,0.0,,0.0,,1.3001015013510367e+18,0.0,131.07,4.496,13.455,2.86,0.065,82.991,4.3801,35.885,3.579,0.078,336.12,78.1,2246.078,31.109,2.034,-7.5294,20.719,699.844,11.268,2.573,15.124,0.07,1.0,0.261,14.712,0.131,1.0,0.319,11.83,0.323,0.0,0.825,10.836,,32.0,0.576,15.786,0.073,0.0,15.482,0.147,0.0,13.145,0.362,0.0,9.586,,32.0,15.385,0.07,1.0,15.031,0.131,1.0,12.655,0.323,0.0,11.412,,32.0,15.26,0.08,1.0,14.874,0.143,1.0,12.479,0.357,1.0,8.642,,32.0,15.23,0.096,1.0,14.821,0.166,1.0,12.494,0.448,1.0,8.265,,32.0,15.22,0.114,1.0,14.779,0.191,1.0,11.816,,32.0,7.953,,32.0,15.225,0.135,1.0,14.724,0.214,1.0,11.795,,32.0,7.725,,32.0,15.262,0.163,1.0,14.664,0.235,1.0,11.821,,32.0,7.58,,32.0,15.336,0.2,1.0,14.611,0.256,1.0,11.954,,32.0,7.448,,32.0,15.206,0.152,0.03,0.78,25.0,3.3,55313.27988662,55505.53369999,55402.04560737,14.69,0.147,0.029,0.826,25.0,0.02,55313.27988662,55505.53369999,55402.04560737,11.689,0.889,0.256,0.686,10.0,1.59,55313.27988662,55314.27223225,55313.72646126,,,,0.569,4.0,1.39,55313.27988662,55314.27223225,55313.74299562,-5.0,-58.0,-23.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16025677127245.0,129.519,1.39028,0.24,0.419,ELG+ELG
5,6.0,0.420544,75.626016,134.889,1.50709,5.0,J085933.35+013025.6,134.8889932,1.507119,0.2249,0.243,-0.0076,227.379282,28.9365732,136.8972503,-14.926932,1350.137,2028.865,1.346101501351029e+18,1346p015_ac51-029100,1346p015_ac51,29100.0,16.439,0.079,13.8,0.9318,16.388,0.25,4.3,0.8618,11.85,,1.8,0.9384,8.462,,1.2,0.8839,0.8976,1.0,0.0,0.0,0.0,0.0,0.0,0000,134.8889848,1.5071467,0.3099,0.3374,-0.0219,-262.0,884.0,757.0,958.0,0.9307,0.861,0.9383,0.8839,0.897,2N000,0000,,0.0,0nnn,ABUU,3.0,0000,11.0,22.0,0.0,22.0,0.0,11.0,0.0,11.0,22.214,22.193,10.947,10.955,0.0,,0.0,,0.0,,0.0,,1.346101501351029e+18,0.0,42.124,3.05,14.081,2.775,0.179,17.564,4.0506,37.183,3.717,0.159,136.02,76.155,2322.438,29.181,9.307,24.737,20.311,732.052,10.281,2.821,16.059,0.158,1.0,0.261,16.389,0.426,1.0,0.319,11.61,,32.0,0.825,7.573,,32.0,0.576,16.935,0.197,1.0,17.191,0.476,1.0,12.908,,32.0,8.622,,32.0,16.32,0.158,1.0,16.708,0.426,1.0,12.435,,32.0,8.149,,32.0,15.786,0.124,1.0,16.275,0.359,1.0,12.124,,32.0,7.876,,32.0,15.2,0.091,1.0,15.711,0.262,1.0,11.872,,32.0,7.703,,32.0,14.669,0.067,17.0,15.176,0.193,1.0,11.659,,32.0,8.327,,32.0,14.27,0.055,17.0,14.755,0.155,1.0,11.492,,32.0,7.331,,32.0,13.91,0.046,17.0,14.346,0.123,1.0,11.394,,32.0,7.116,,32.0,13.524,0.037,17.0,13.912,0.094,1.0,11.295,,32.0,6.917,,32.0,16.447,0.446,0.095,0.821,21.0,3.77,55318.30796001,55510.42742299,55414.36774992,16.484,0.819,0.175,0.652,19.0,0.04,55318.30796001,55510.42742299,55414.36774992,12.699,2.245,0.677,0.831,7.0,0.37,55318.30796001,55319.30030598,55318.81916492,9.53,2.325,0.701,0.812,6.0,0.05,55318.30796001,55319.30030598,55318.81916492,17.0,39.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16286684121312.0,134.889,1.50709,0.727,0.17600000000000002,ELG+ELG
6,7.0,0.447123,133.060128,139.685,1.98081,5.0,J091844.31+015850.6,139.6846308,1.9807252,0.1965,0.2178,0.0199,229.7877403,33.2901451,141.4610557,-13.031964,675.75,3268.961,1.3911015013510502e+18,1391p015_ac51-050178,1391p015_ac51,50178.0,16.29,0.07,15.4,0.9416,16.148,0.212,5.1,0.9272,12.137,,0.9,0.8506,8.748,,0.5,0.997,0.9269,1.0,0.0,0.0,0.0,0.0,0.0,0000,139.684636,1.9807267,0.236,0.2583,0.0244,297.0,730.0,63.0,810.0,0.9413,0.927,0.8507,0.997,0.9268,1N000,0000,,0.0,0nnn,ABUU,3.0,0000,17.0,23.0,0.0,23.0,0.0,11.0,0.0,11.0,22.453,22.41,10.957,10.918,0.0,,0.0,,0.0,,0.0,,1.3911015013510502e+18,0.0,48.314,3.132,14.733,3.042,0.0,21.911,4.2791,38.336,3.912,0.155,68.738,76.376,2409.082,30.834,3.395,9.7059,20.253,772.839,10.875,1.366,16.189,0.098,1.0,0.261,16.444,0.415,1.0,0.319,11.86,,32.0,0.825,8.29,,32.0,0.576,16.832,0.101,1.0,17.019,0.383,1.0,13.036,,32.0,9.309,,32.0,16.45,0.098,1.0,16.763,0.415,1.0,12.685,,32.0,8.866,,32.0,16.318,0.112,1.0,16.072,,32.0,12.407,,32.0,8.546,,32.0,16.187,0.124,1.0,16.134,,32.0,12.171,,32.0,8.325,,32.0,16.015,0.127,1.0,16.286,,32.0,11.974,,32.0,8.103,,32.0,15.839,0.128,1.0,16.19,,32.0,11.679,,32.0,7.825,,32.0,15.629,0.122,1.0,16.029,,32.0,11.367,,32.0,7.627,,32.0,15.425,0.116,1.0,15.744,,32.0,11.155,,32.0,7.5,,32.0,16.25,0.349,0.073,0.715,21.0,2.94,55322.67450881,55514.52732781,55422.77455508,16.137,0.74,0.154,0.706,20.0,0.04,55322.67450881,55514.52732781,55422.77455508,13.389,1.905,0.574,0.787,7.0,0.0,55322.67450881,55323.66672647,55323.18565509,10.71,8.51,2.566,0.779,7.0,0.01,55322.67450881,55323.66672647,55323.18565509,-29.0,-4.0,56.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,15532201232641.0,139.685,1.98081,0.18899999999999997,0.6709999999999999,ELG+ELG
7,8.0,3.989935,-48.987685,129.951,-0.03694,5.0,J083948.03-000210.3,129.9501637,-0.0362127,0.0529,0.0536,-0.0023,226.0955295,23.8919735,132.4048267,-17.7892753,2399.782,1953.189,1.3001000013510313e+18,1300p000_ac51-031241,1300p000_ac51,31241.0,14.025,0.027,40.4,3.683,13.634,0.034,32.1,1.182,9.6,0.048,22.7,1.106,7.014,0.094,11.5,0.9918,1.94,1.0,0.0,0.0,0.0,0.0,0.0,0000,129.9501658,-0.0362111,0.0548,0.1183,-0.0548,45.0,91.0,33.0,199.0,3.682,1.183,1.106,0.9918,1.94,3N000,0000,,1.0,1100,AAAA,15.0,0000,26.0,26.0,26.0,26.0,14.0,14.0,11.0,14.0,25.98,26.225,14.714,14.508,0.0,,0.0,,0.0,,0.0,,1.3001000013510313e+18,0.0,389.1,9.643,13.079,2.847,0.086,222.02,6.9237,35.339,3.803,0.093,2289.9,100.89,2177.578,32.163,5.946,247.99,21.566,675.734,11.461,1.468,13.77,0.015,0.0,0.261,13.436,0.03,0.0,0.319,9.51,0.039,0.0,0.825,7.056,0.135,1.0,0.576,14.528,0.017,0.0,14.277,0.034,0.0,10.955,0.049,0.0,8.1,0.138,1.0,14.031,0.015,0.0,13.755,0.03,0.0,10.335,0.039,0.0,7.632,0.135,1.0,13.822,0.016,1.0,13.538,0.032,1.0,9.996,0.037,1.0,7.334,0.14,1.0,13.728,0.017,1.0,13.455,0.037,1.0,9.8,0.038,1.0,7.144,0.154,1.0,13.667,0.02,1.0,13.42,0.043,1.0,9.678,0.041,1.0,7.053,0.181,1.0,13.607,0.022,1.0,13.389,0.049,1.0,9.604,0.046,1.0,7.019,0.217,1.0,13.537,0.024,1.0,13.343,0.054,1.0,9.558,0.051,1.0,7.023,0.266,1.0,13.446,0.025,1.0,13.264,0.057,1.0,9.53,0.057,1.0,7.037,0.324,1.0,14.026,0.069,0.014,0.825,25.0,3.28,55314.07358482,55506.32765182,55402.8775016,13.637,0.102,0.02,0.782,25.0,0.75,55314.07358482,55506.32765182,55402.8775016,9.6,0.123,0.033,0.88,13.0,1.21,55314.07358482,55315.06593053,55314.60752253,7.01,0.279,0.075,0.749,13.0,0.97,55314.07358482,55315.06593053,55314.60752253,30.0,-28.0,-35.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,10034152793829.0,129.951,-0.03694,0.14400000000000002,0.13,ELG+ELG
8,9.0,1.023374,55.722898,137.521,-0.12759,5.0,J091005.19-000738.7,137.5216549,-0.1274299,0.0929,0.0992,0.0127,230.5569994,30.3415986,140.007379,-15.703745,2377.691,1714.366,1.3761000013510313e+18,1376p000_ac51-031407,1376p000_ac51,31407.0,15.318,0.039,28.2,0.9774,14.875,0.069,15.8,0.9106,11.585,0.199,5.5,1.087,9.094,,-0.6,1.002,0.9738,1.0,0.0,0.0,0.0,0.0,0.0,0000,137.5216469,-0.1274337,0.1167,0.1248,0.0179,-347.0,308.0,-169.0,334.0,0.9778,0.9078,1.085,1.002,0.9728,2N000,0000,,0.0,00nn,AABU,7.0,0000,24.0,24.0,18.0,24.0,1.0,12.0,0.0,12.0,23.517,23.466,11.909,12.049,0.0,,0.0,,0.0,,0.0,,1.3761000013510313e+18,0.0,118.2,4.1944,13.859,2.93,0.091,70.8,4.4944,36.857,3.763,0.112,368.29,67.519,2268.781,27.961,4.602,-10.59,18.256,717.609,10.207,1.53,15.182,0.062,1.0,0.261,14.783,0.103,1.0,0.319,11.659,0.35,1.0,0.825,8.556,,32.0,0.576,15.872,0.066,1.0,15.601,0.116,1.0,13.123,0.45,1.0,9.56,,32.0,15.443,0.062,1.0,15.102,0.103,1.0,12.484,0.35,1.0,9.132,,32.0,15.224,0.065,1.0,14.839,0.105,1.0,12.071,0.308,1.0,8.8,,32.0,15.03,0.068,1.0,14.644,0.109,1.0,11.728,0.278,1.0,8.519,,32.0,14.778,0.065,1.0,14.4,0.105,1.0,11.444,0.259,1.0,8.272,,32.0,14.367,0.053,17.0,14.016,0.087,1.0,11.254,0.256,1.0,8.048,,32.0,13.814,0.037,17.0,13.546,0.066,1.0,11.116,0.262,1.0,7.842,,32.0,13.315,0.027,17.0,13.128,0.052,1.0,11.019,0.276,1.0,7.651,,32.0,15.318,0.16,0.033,0.754,23.0,2.8,55321.21865336,55513.20517771,55417.25604355,14.878,0.304,0.062,0.84,23.0,1.08,55321.21865336,55513.20517771,55417.25604355,11.76,0.538,0.155,0.515,11.0,1.08,55321.21865336,55322.34317532,55321.78091434,,,,0.739,4.0,0.03,55321.21865336,55322.34317532,55321.78091434,7.0,-24.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,10514679096936.0,137.521,-0.12759,0.105,0.3,ELG+ELG
9,10.0,0.04114,-122.856136,133.352,0.32283,5.0,J085324.54+001922.1,133.3522804,0.3228238,0.1057,0.1123,0.0176,227.65091,27.0115249,135.7224356,-16.5031684,1413.015,2893.207,1.3311000013510474e+18,1331p000_ac51-047361,1331p000_ac51,47361.0,15.485,0.042,25.6,1.011,15.141,0.083,13.1,0.9052,12.346,0.432,2.5,0.8366,8.976,,-1.1,1.057,0.9513,1.0,0.0,0.0,0.0,0.0,0.0,0000,133.3522841,0.322843,0.1232,0.129,0.0208,172.0,334.0,860.0,361.0,1.005,0.901,0.8372,1.057,0.9477,1N000,0000,,0.0,00nn,AACU,7.0,0000,27.0,27.0,16.0,27.0,0.0,12.0,0.0,12.0,25.832,26.459,12.164,12.61,0.0,,0.0,,0.0,,0.0,,1.3311000013510474e+18,0.0,101.35,3.9602,13.311,2.831,0.112,55.435,4.2276,35.543,3.739,0.224,182.67,72.724,2237.334,29.675,4.384,-23.133,20.355,701.984,11.18,0.856,15.347,0.052,1.0,0.261,14.973,0.112,1.0,0.319,12.241,0.528,1.0,0.825,8.43,,32.0,0.576,16.063,0.057,1.0,15.822,0.132,1.0,12.829,,32.0,9.443,,32.0,15.608,0.052,1.0,15.292,0.112,1.0,13.066,0.528,1.0,9.006,,32.0,15.331,0.052,1.0,15.028,0.114,1.0,12.632,0.459,1.0,8.658,,32.0,15.084,0.051,1.0,14.851,0.119,1.0,12.325,0.428,1.0,8.364,,32.0,14.871,0.05,1.0,14.703,0.125,1.0,12.139,0.434,1.0,8.101,,32.0,14.719,0.051,1.0,14.576,0.132,1.0,12.102,0.497,1.0,7.865,,32.0,14.582,0.053,1.0,14.436,0.134,1.0,11.324,,32.0,7.649,,32.0,14.419,0.052,1.0,14.286,0.134,1.0,11.229,,32.0,7.449,,32.0,15.489,0.276,0.053,0.726,26.0,16.93,55317.11683964,55509.36949965,55402.58708532,15.151,0.499,0.096,0.748,26.0,5.46,55317.11683964,55509.36949965,55402.58708532,12.333,0.885,0.256,0.775,10.0,0.08,55317.2491439,55318.24148949,55317.62959823,,,,0.73,3.0,0.19,55317.2491439,55318.24148949,55317.62959823,-14.0,12.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16012247142802.0,133.352,0.32283,0.289,0.292,ELG+ELG
