,cntr_01,dist_x,pang_x,ra_01,dec_01,major_01,designation,ra_x,dec_x,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,cntr,source_id,coadd_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,rel,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w3cc_map,w3cc_map_str,w4cc_map,w4cc_map_str,best_use_cntr,ngrp,w1flux,w1sigflux,w1sky,w1sigsk,w1conf,w2flux,w2sigflux,w2sky,w2sigsk,w2conf,w3flux,w3sigflux,w3sky,w3sigsk,w3conf,w4flux,w4sigflux,w4sky,w4sigsk,w4conf,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w3mag,w3sigm,w3flg,w3mcor,w4mag,w4sigm,w4flg,w4mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w3mag_1,w3sigm_1,w3flg_1,w4mag_1,w4sigm_1,w4flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w3mag_2,w3sigm_2,w3flg_2,w4mag_2,w4sigm_2,w4flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w3mag_3,w3sigm_3,w3flg_3,w4mag_3,w4sigm_3,w4flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w3mag_4,w3sigm_4,w3flg_4,w4mag_4,w4sigm_4,w4flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w3mag_5,w3sigm_5,w3flg_5,w4mag_5,w4sigm_5,w4flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w3mag_6,w3sigm_6,w3flg_6,w4mag_6,w4sigm_6,w4flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w3mag_7,w3sigm_7,w3flg_7,w4mag_7,w4sigm_7,w4flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,w3mag_8,w3sigm_8,w3flg_8,w4mag_8,w4sigm_8,w4flg_8,w1magp,w1sigp1,w1sigp2,w1k,w1ndf,w1mlq,w1mjdmin,w1mjdmax,w1mjdmean,w2magp,w2sigp1,w2sigp2,w2k,w2ndf,w2mlq,w2mjdmin,w2mjdmax,w2mjdmean,w3magp,w3sigp1,w3sigp2,w3k,w3ndf,w3mlq,w3mjdmin,w3mjdmax,w3mjdmean,w4magp,w4sigp1,w4sigp2,w4k,w4ndf,w4mlq,w4mjdmin,w4mjdmax,w4mjdmean,rho12,rho23,rho34,q12,q23,q34,xscprox,w1rsemi,w1ba,w1pa,w1gmag,w1gerr,w1gflg,w2rsemi,w2ba,w2pa,w2gmag,w2gerr,w2gflg,w3rsemi,w3ba,w3pa,w3gmag,w3gerr,w3gflg,w4rsemi,w4ba,w4pa,w4gmag,w4gerr,w4gflg,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,htm20,ra_y,dec_y,z1,z2,spec_type
0,1.0,0.804179,-17.452281,129.016,-0.69336,5.0,J083603.87-004135.3,129.016143,-0.6931469,0.1272,0.1397,-0.023,226.2075178,22.7547245,131.6411485,-18.6712042,885.025,233.26,1.285100001351003e+18,1285p000_ac51-002939,1285p000_ac51,2939.0,15.826,0.049,22.1,1.04,15.476,0.109,9.9,0.8225,12.631,,-0.5,0.9318,9.003,,0.2,0.9411,0.9296,1.0,0.0,0.0,0.0,0.0,0.0,0000,129.0161503,-0.6931527,0.14,0.1542,-0.0301,445.0,432.0,-327.0,483.0,1.036,0.8238,0.9318,0.9411,0.9289,1N000,0000,,0.0,0nnn,ABUU,3.0,1111,25.0,25.0,5.0,25.0,0.0,12.0,0.0,12.0,24.33,24.32,11.92,11.679,0.0,,0.0,,0.0,,0.0,,1.285100001351003e+18,0.0,74.083,3.3597,12.574,2.775,0.0,40.7,4.1024,34.784,3.78,0.054,-38.054,70.228,2134.36,29.542,2.848,3.1624,18.266,658.07,10.822,1.15,15.534,0.07,0.0,0.261,15.297,0.173,0.0,0.319,12.158,,32.0,0.825,8.035,,32.0,0.576,16.295,0.08,0.0,16.128,0.203,0.0,13.335,,32.0,9.09,,32.0,15.795,0.07,0.0,15.616,0.173,0.0,12.983,,32.0,8.611,,32.0,15.557,0.072,1.0,15.42,0.188,1.0,12.702,,32.0,8.302,,32.0,15.413,0.078,1.0,15.345,0.216,1.0,12.467,,32.0,8.052,,32.0,15.245,0.08,1.0,15.247,0.235,1.0,12.134,,32.0,7.981,,32.0,15.03,0.077,1.0,15.108,0.244,1.0,11.784,,32.0,7.664,,32.0,14.835,0.075,1.0,15.001,0.257,1.0,11.491,,32.0,7.449,,32.0,14.704,0.076,17.0,14.974,0.289,1.0,11.234,,32.0,7.25,,32.0,15.836,0.257,0.051,0.773,24.0,4.11,55313.27950463,55505.6663861,55405.69145951,15.519,0.623,0.125,0.7,22.0,0.84,55313.27950463,55505.6663861,55405.69145951,,,,0.756,5.0,0.04,55313.27950463,55314.40415449,55313.82529682,11.72,13.55,3.911,0.774,6.0,0.01,55313.27950463,55314.40415449,55313.82529682,12.0,87.0,62.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,10048108471387.0,129.016,-0.6933600000000001,0.293,0.051,ELG+PG
1,2.0,1.339592,101.706458,133.782,-0.7479,5.0,J085507.71-004452.7,133.7821544,-0.7479755,0.0777,0.079,-0.0177,228.9290453,26.830798,136.4738384,-17.4058398,287.706,89.72,1.3311000013510024e+18,1331p000_ac51-002354,1331p000_ac51,2354.0,14.687,0.034,32.0,2.99,14.258,0.048,22.5,1.305,12.05,0.302,3.6,1.0,8.369,,1.5,0.9163,1.719,3.0,1.0,0.0,0.002,0.0,0.0,0900,133.7822171,-0.7480112,0.073,0.0768,-0.015,2046.0,157.0,-1351.0,170.0,7.736,2.524,1.0,0.917,3.627,1N011,0000,,0.0,nnnn,AABU,7.0,0000,27.0,27.0,27.0,27.0,1.0,15.0,0.0,15.0,26.486,26.365,14.968,15.014,0.0,,0.0,,0.0,,0.0,,1.3311000013510024e+18,0.0,211.36,6.5971,13.263,2.978,0.166,124.93,5.5495,35.183,3.784,0.274,239.81,66.613,2185.219,28.956,4.199,30.266,20.454,681.108,10.811,3.664,13.795,0.019,1.0,0.261,13.478,0.034,17.0,0.319,12.164,0.447,1.0,0.825,8.161,,32.0,0.576,14.793,0.026,1.0,14.531,0.053,1.0,12.83,,32.0,9.266,,32.0,14.056,0.019,1.0,13.797,0.034,17.0,12.989,0.447,1.0,8.737,,32.0,13.599,0.016,1.0,13.35,0.026,17.0,12.62,0.412,1.0,8.362,,32.0,13.322,0.016,1.0,13.08,0.024,17.0,12.35,0.398,1.0,8.151,,32.0,13.156,0.016,1.0,12.923,0.024,17.0,12.113,0.385,1.0,8.039,,32.0,13.043,0.017,1.0,12.823,0.025,17.0,11.912,0.378,1.0,7.998,,32.0,12.955,0.018,1.0,12.748,0.026,17.0,11.743,0.377,1.0,7.9,,32.0,12.88,0.019,1.0,12.68,0.028,17.0,11.636,0.393,1.0,7.7,,32.0,14.69,0.135,0.026,0.784,26.0,11.25,55317.91053786,55510.03102009,55403.3514107,14.269,0.217,0.042,0.775,26.0,3.99,55317.91053786,55510.03102009,55403.3514107,12.06,1.033,0.267,0.584,12.0,0.33,55317.91053786,55318.90288397,55318.41334538,9.312,2.257,0.583,0.648,10.0,0.18,55317.91053786,55318.90288397,55318.41334538,-6.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,237183245.0,1.733,-45.7,1.0,16.755,0.143,16.333,0.239,15.417,0.205,10033245188374.0,133.782,-0.7479,0.27,0.268,ELG+PG
2,2.0,4.375733,113.460326,133.782,-0.7479,5.0,J085507.89-004454.1,133.7829051,-0.7483839,0.0704,0.0692,-0.0156,228.9298723,26.8312289,136.4747151,-17.4060144,285.733,4053.351,1.331001601351054e+18,1331m016_ac51-054070,1331m016_ac51,54070.0,14.551,0.03,36.0,7.355,14.081,0.043,25.4,1.962,12.675,0.471,2.3,1.093,8.568,,1.2,1.002,3.356,2.0,0.0,0.0,0.001,0.0,0.0,0900,133.7828396,-0.7483598,0.0771,0.0721,-0.0184,-2218.0,168.0,1655.0,171.0,7.234,1.928,1.096,1.003,3.307,2N014,0000,,1.0,11nn,AACU,7.0,0000,27.0,27.0,27.0,27.0,0.0,15.0,0.0,15.0,26.564,26.355,14.989,14.988,0.0,,0.0,,0.0,,0.0,,1.331001601351054e+18,0.0,239.77,6.6636,12.929,2.862,0.011,147.13,5.7917,35.176,3.745,0.205,134.84,58.488,2185.206,27.001,2.888,22.305,18.491,681.163,10.923,1.951,13.61,0.018,1.0,0.261,13.305,0.029,1.0,0.319,12.314,0.536,1.0,0.825,8.097,,32.0,0.576,14.582,0.024,1.0,14.338,0.046,1.0,12.923,,32.0,9.225,,32.0,13.871,0.018,1.0,13.624,0.029,1.0,13.139,0.536,1.0,8.673,,32.0,13.482,0.016,1.0,13.226,0.024,17.0,12.641,0.437,1.0,8.256,,32.0,13.255,0.016,1.0,13.0,0.022,17.0,12.281,0.389,1.0,7.99,,32.0,13.114,0.017,1.0,12.867,0.023,17.0,12.01,0.367,1.0,7.836,,32.0,13.013,0.018,1.0,12.78,0.024,17.0,11.806,0.36,1.0,7.768,,32.0,12.932,0.019,1.0,12.711,0.026,17.0,11.676,0.372,1.0,7.697,,32.0,12.864,0.02,1.0,12.655,0.028,17.0,11.549,0.381,1.0,7.573,,32.0,14.552,0.16,0.031,0.849,26.0,29.21,55317.91053786,55510.03102009,55403.3514107,14.088,0.261,0.05,0.765,26.0,16.32,55317.91053786,55510.03102009,55403.3514107,12.37,0.998,0.258,0.646,12.0,0.1,55317.91053786,55318.90288397,55318.41334538,9.622,2.908,0.751,0.648,9.0,0.2,55317.91053786,55318.90288397,55318.41334538,30.0,35.0,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,10033245189084.0,133.782,-0.7479,0.27,0.268,ELG+PG
3,3.0,0.834679,-30.535703,132.506,0.0425,5.0,J085001.40+000233.7,132.5058422,0.0426997,0.0865,0.0908,-0.0081,227.439617,26.1401988,134.9573529,-17.0113324,3629.103,2159.796,1.331100001351037e+18,1331p000_ac51-036958,1331p000_ac51,36958.0,15.081,0.036,30.4,0.9977,14.793,0.065,16.7,0.8927,11.772,0.317,3.4,0.8667,8.25,,1.3,0.9189,0.9246,1.0,0.0,0.0,0.0,0.0,0.0,0000,132.5058345,0.0427078,0.1005,0.1053,-0.003,-375.0,256.0,332.0,278.0,0.9936,0.8886,0.8671,0.919,0.922,1N000,0000,,0.0,00nn,AABU,7.0,0000,23.0,23.0,20.0,23.0,0.0,11.0,0.0,11.0,24.237,24.036,10.985,10.795,0.0,,0.0,,0.0,,0.0,,1.331100001351037e+18,0.0,147.05,4.8407,13.338,2.866,0.088,76.381,4.5628,35.731,3.701,0.047,309.75,90.566,2210.468,31.571,0.706,30.699,24.367,689.969,11.956,1.455,14.901,0.045,0.0,0.261,14.889,0.147,0.0,0.319,11.739,0.336,0.0,0.825,8.232,,32.0,0.576,15.605,0.048,0.0,15.615,0.152,0.0,13.167,0.415,0.0,9.125,,32.0,15.162,0.045,0.0,15.208,0.147,0.0,12.564,0.336,0.0,8.808,,32.0,14.965,0.049,0.0,15.108,0.174,0.0,12.243,0.324,0.0,10.81,,32.0,14.833,0.054,1.0,15.105,0.214,1.0,12.105,0.354,1.0,8.362,,32.0,14.671,0.056,1.0,15.045,0.243,1.0,12.118,0.431,1.0,8.105,,32.0,14.449,0.053,1.0,14.889,0.248,1.0,11.489,,32.0,7.871,,32.0,14.227,0.05,1.0,14.728,0.248,17.0,11.529,,32.0,7.657,,32.0,14.064,0.05,1.0,14.679,0.273,17.0,11.564,,32.0,7.46,,32.0,15.085,0.107,0.022,0.858,22.0,0.68,55316.4551909,55508.57605719,55408.35355052,14.751,0.231,0.048,0.782,21.0,0.36,55316.4551909,55508.57605719,55408.35355052,11.776,0.591,0.178,0.741,9.0,0.06,55316.4551909,55317.4475366,55316.90631501,8.911,1.176,0.355,0.712,7.0,0.11,55316.4551909,55317.4475366,55316.90631501,-22.0,-22.0,-33.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16012179211626.0,132.506,0.0425,0.31,0.27,ELG+PG
4,4.0,0.468568,28.944163,136.799,0.98044,5.0,J090711.78+005849.9,136.799103,0.9805539,0.1047,0.1109,0.0133,229.0251139,30.3067049,138.9461017,-14.8660979,309.462,650.465,1.3611015013510003e+18,1361p015_ac51-000198,1361p015_ac51,198.0,15.394,0.041,26.8,1.111,15.275,0.098,11.0,0.8375,12.541,,-2.0,0.8382,8.967,,0.0,0.9477,0.9456,1.0,0.0,0.0,0.0,0.0,0.0,0000,136.7991029,0.980554,0.1089,0.1172,0.0145,80.0,317.0,-21.0,348.0,1.111,0.8374,0.8381,0.9477,0.9456,1N000,0000,,0.0,0nnn,AAUU,3.0,0000,23.0,23.0,8.0,23.0,0.0,11.0,0.0,11.0,23.363,23.512,11.808,11.449,0.0,,0.0,,0.0,,0.0,,1.3611015013510003e+18,0.0,110.26,4.1133,13.512,2.798,0.12,49.0,4.44,37.17,3.817,0.0,-150.35,76.324,2320.423,30.704,2.124,0.62684,20.199,733.75,11.101,2.272,15.187,0.038,1.0,0.261,15.261,0.133,1.0,0.319,12.279,,32.0,0.825,8.94,,32.0,0.576,15.9,0.043,1.0,15.995,0.144,1.0,13.45,,32.0,9.452,,32.0,15.448,0.038,1.0,15.58,0.133,1.0,13.104,,32.0,9.516,,32.0,15.241,0.04,1.0,15.517,0.161,1.0,12.835,,32.0,8.747,,32.0,15.113,0.044,1.0,15.655,0.225,1.0,12.603,,32.0,8.458,,32.0,15.005,0.048,1.0,15.993,0.369,1.0,12.405,,32.0,8.198,,32.0,14.896,0.051,1.0,15.694,,32.0,12.225,,32.0,7.966,,32.0,14.778,0.053,1.0,15.992,,32.0,12.066,,32.0,7.753,,32.0,14.647,0.055,1.0,15.917,,32.0,11.918,,32.0,7.556,,32.0,15.394,0.15,0.031,0.846,22.0,1.5,55320.2926513,55512.27904869,55420.41353676,15.273,0.404,0.084,0.76,22.0,0.69,55320.2926513,55512.27904869,55420.41353676,,,,,2.0,0.23,55320.2926513,55321.28486914,55320.77372275,13.544,,,0.918,5.0,0.02,55320.2926513,55321.28486914,55320.77372275,4.0,-4.0,-54.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,15531630863514.0,136.799,0.98044,0.284,0.23800000000000002,ELG+PG
5,5.0,1.607405,22.166861,129.874,1.12844,5.0,J083929.86+010743.8,129.8744185,1.1288535,0.0578,0.0602,-0.0075,224.9453307,24.4034202,132.0024187,-16.6868188,2597.984,1038.488,1.3001015013510157e+18,1300p015_ac51-015590,1300p015_ac51,15590.0,14.048,0.027,39.6,1.769,13.79,0.038,28.6,0.9826,11.295,0.177,6.1,1.037,8.14,,1.6,0.7948,1.229,1.0,0.0,0.0,0.0,0.0,0.0,0000,129.8744191,1.1288534,0.0664,0.0693,-0.0144,25.0,129.0,-11.0,140.0,1.769,0.9826,1.037,0.7948,1.229,1N000,d000,,0.0,11nn,AABU,7.0,0000,23.0,23.0,23.0,23.0,3.0,10.0,1.0,11.0,22.556,22.481,10.938,10.902,1.0,d,0.0,,0.0,,0.0,,1.3001015013510157e+18,0.0,380.83,9.6096,13.798,2.978,0.143,192.33,6.7195,35.796,3.816,0.17,481.01,78.621,2227.736,28.158,2.276,39.224,24.326,695.165,12.122,3.507,13.87,0.017,1.0,0.261,13.678,0.038,1.0,0.319,11.417,0.329,1.0,0.825,8.176,,32.0,0.576,14.577,0.018,1.0,14.495,0.042,1.0,12.747,0.365,1.0,9.041,,32.0,14.131,0.017,1.0,13.997,0.038,1.0,12.242,0.329,1.0,8.752,,32.0,13.943,0.018,1.0,13.795,0.041,1.0,12.061,0.36,1.0,8.412,,32.0,13.855,0.02,1.0,13.725,0.047,1.0,12.047,0.438,1.0,8.115,,32.0,13.802,0.023,1.0,13.715,0.056,17.0,11.37,,32.0,7.854,,32.0,13.761,0.025,1.0,13.733,0.066,17.0,11.406,,32.0,7.619,,32.0,13.72,0.028,1.0,13.757,0.079,17.0,11.473,,32.0,8.37,,32.0,13.668,0.031,1.0,13.763,0.092,17.0,11.507,,32.0,7.861,,32.0,14.048,0.082,0.017,0.779,22.0,6.27,55313.67679946,55505.93061225,55405.65310367,13.789,0.137,0.029,0.788,22.0,2.12,55313.67679946,55505.93061225,55405.65310367,11.295,0.683,0.216,0.76,9.0,2.98,55313.67679946,55314.66914507,55314.1928115,8.914,2.066,0.623,0.614,7.0,1.34,55313.67679946,55314.66914507,55314.17597625,26.0,-13.0,13.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,816709411.0,0.351,-39.2,1.0,15.979,0.118,15.482,0.139,14.869,0.175,16013978006548.0,129.874,1.1284399999999999,0.153,0.158,ELG+PG
6,6.0,0.933691,100.530479,136.078,1.68015,5.0,J090418.77+014048.3,136.0782151,1.6801026,0.0793,0.0829,-0.0116,227.9024147,30.0482152,138.0196498,-14.4130196,2196.52,2481.726,1.3611015013510438e+18,1361p015_ac51-043737,1361p015_ac51,43737.0,14.93,0.034,31.5,1.227,14.502,0.053,20.4,0.9511,11.361,0.205,5.3,1.046,8.706,0.454,2.4,0.9476,1.056,1.0,0.0,0.0,0.0,0.0,0.0,0000,136.0782171,1.6801023,0.1091,0.111,-0.0174,82.0,255.0,-12.0,267.0,1.228,0.95,1.046,0.9476,1.055,1N000,0000,,0.0,00nn,AABC,15.0,0000,23.0,23.0,23.0,23.0,3.0,11.0,1.0,11.0,24.291,25.187,11.341,11.068,0.0,,0.0,,0.0,,0.0,,1.3611015013510438e+18,0.0,169.06,5.3612,14.125,2.921,0.281,99.773,4.8971,37.607,3.889,0.288,452.43,85.548,2346.4,30.077,5.637,52.212,21.827,742.655,12.079,3.516,14.706,0.036,1.0,0.261,14.287,0.072,1.0,0.319,11.167,0.2,0.0,0.825,8.478,0.531,1.0,0.576,15.436,0.04,0.0,15.116,0.083,0.0,12.645,0.26,0.0,8.85,,32.0,14.967,0.036,1.0,14.606,0.072,1.0,11.992,0.2,0.0,9.054,0.531,1.0,14.747,0.039,1.0,14.374,0.076,1.0,11.579,0.177,1.0,8.564,0.461,1.0,14.628,0.043,1.0,14.254,0.085,1.0,11.305,0.17,1.0,8.272,0.456,1.0,14.573,0.049,1.0,14.195,0.097,1.0,11.13,0.174,1.0,8.082,0.482,1.0,14.552,0.056,1.0,14.168,0.112,17.0,11.015,0.185,1.0,7.882,0.494,17.0,14.532,0.064,1.0,14.141,0.127,17.0,10.952,0.203,1.0,7.665,0.49,17.0,14.484,0.07,1.0,14.097,0.14,17.0,10.913,0.224,1.0,7.447,0.478,17.0,14.934,0.127,0.026,0.798,22.0,3.49,55319.36652177,55511.35316962,55419.50478446,14.505,0.223,0.046,0.796,22.0,1.23,55319.36652177,55511.35316962,55419.50478446,11.357,0.643,0.194,0.706,10.0,1.65,55319.36652177,55320.35886708,55319.87772611,8.714,1.786,0.538,0.775,5.0,1.14,55319.36652177,55320.35886708,55319.87772611,20.0,7.0,-55.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16286921881655.0,136.078,1.68015,0.14800000000000002,0.321,ELG+PG
7,7.0,0.102863,118.195026,131.781,2.12672,5.0,J084707.46+020736.1,131.7811052,2.1267065,0.1627,0.1785,0.0246,225.021057,26.5536433,133.6301108,-15.210684,1566.66,3651.005,1.3151015013510543e+18,1315p015_ac51-054433,1315p015_ac51,54433.0,16.111,0.062,17.6,0.8301,15.698,0.138,7.8,0.9176,12.487,,-0.5,0.9932,9.013,,0.1,0.9042,0.8949,1.0,0.0,0.0,0.0,0.0,0.0,0000,131.7811338,2.1267091,0.1834,0.1993,0.0351,1586.0,565.0,148.0,623.0,0.8162,0.9189,0.9927,0.9042,0.8906,1N001,0000,,0.0,1nnn,ABUU,3.0,0000,21.0,26.0,4.0,26.0,0.0,13.0,0.0,13.0,26.301,26.493,13.19,13.517,0.0,,0.0,,0.0,,0.0,,1.3151015013510543e+18,0.0,56.983,3.2306,14.449,3.069,0.071,33.165,4.228,36.31,3.814,0.213,-42.643,80.195,2309.447,30.221,3.99,2.0975,18.617,726.41,11.186,1.91,15.898,0.095,0.0,0.261,15.682,0.219,0.0,0.319,12.199,,32.0,0.825,8.31,,32.0,0.576,16.603,0.102,0.0,16.471,0.23,0.0,13.396,,32.0,9.347,,32.0,16.159,0.095,0.0,16.001,0.219,0.0,13.024,,32.0,8.886,,32.0,15.918,0.098,1.0,15.767,0.237,1.0,12.742,,32.0,8.721,,32.0,15.699,0.1,1.0,15.552,0.23,1.0,12.509,,32.0,8.509,,32.0,15.443,0.094,1.0,15.275,0.204,1.0,12.315,,32.0,8.249,,32.0,15.148,0.085,17.0,14.949,0.173,17.0,12.132,,32.0,8.012,,32.0,14.793,0.071,17.0,14.607,0.143,17.0,11.971,,32.0,7.795,,32.0,14.398,0.057,17.0,14.255,0.117,17.0,11.817,,32.0,7.595,,32.0,16.111,0.254,0.05,0.769,25.0,0.79,55315.13252836,55507.38532042,55403.98165506,15.712,0.65,0.127,0.734,24.0,0.88,55315.13252836,55507.38532042,55403.98165506,,,,0.698,4.0,0.21,55315.13252836,55316.25718012,55315.69736228,11.89,,,0.844,3.0,0.08,55315.13252836,55316.25718012,55315.69736228,28.0,57.0,-13.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16015913028238.0,131.781,2.12672,0.207,0.138,ELG+PG
8,8.0,0.443539,-8.347399,140.944,2.24256,5.0,J092346.64+021433.6,140.9443621,2.2426819,0.092,0.0997,0.0062,230.3152898,34.4991298,142.6021112,-12.3882066,1337.543,3954.652,1.4061015013510538e+18,1406p015_ac51-053749,1406p015_ac51,53749.0,15.174,0.038,28.5,1.088,14.855,0.069,15.7,0.9594,12.202,0.37,2.9,1.182,8.983,,-1.2,1.154,1.068,1.0,0.0,0.0,0.0,0.0,0.0,0000,140.9443619,2.2426763,0.1065,0.1139,0.0082,-83.0,276.0,-406.0,305.0,1.084,0.9599,1.182,1.154,1.067,2N000,0000,s,0.0,00nn,AACU,7.0,0000,24.0,24.0,19.0,24.0,0.0,12.0,0.0,12.0,23.505,23.437,11.948,11.872,0.0,,0.0,,0.0,,0.0,,1.4061015013510538e+18,0.0,135.05,4.7411,14.715,2.985,0.089,72.135,4.5965,38.414,3.721,0.289,208.53,70.991,2451.514,29.776,3.167,-23.718,20.22,786.976,11.356,2.571,15.135,0.059,1.0,0.261,14.94,0.207,1.0,0.319,12.15,0.503,1.0,0.825,8.522,,32.0,0.576,15.772,0.061,1.0,15.64,0.211,1.0,12.761,,32.0,9.537,,32.0,15.396,0.059,1.0,15.259,0.207,1.0,12.975,0.503,1.0,9.098,,32.0,15.264,0.067,1.0,15.203,0.258,1.0,12.577,0.451,1.0,8.754,,32.0,15.172,0.076,1.0,15.267,0.341,1.0,12.407,0.479,1.0,8.462,,32.0,14.99,0.078,1.0,15.271,0.411,1.0,12.298,0.523,1.0,8.202,,32.0,14.698,0.07,1.0,15.13,0.424,1.0,11.426,,32.0,13.678,,32.0,14.364,0.06,1.0,14.888,0.393,1.0,11.314,,32.0,7.753,,32.0,14.071,0.053,1.0,14.632,0.357,1.0,11.21,,32.0,9.472,,32.0,15.173,0.151,0.031,0.771,23.0,3.53,55323.73306958,55515.58537883,55419.69509113,14.862,0.264,0.054,0.683,23.0,2.48,55323.73306958,55515.58537883,55419.69509113,12.198,0.963,0.278,0.83,8.0,0.05,55323.73306958,55324.85759126,55324.2953304,,,,0.734,3.0,0.13,55323.73306958,55324.85759126,55324.2953304,-1.0,31.0,37.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,15546678386186.0,140.944,2.2425599999999997,0.409,0.27899999999999997,ELG+PG
9,9.0,0.39552,95.903428,133.79,0.98418,5.0,J085509.59+005903.0,133.7899793,0.9841687,0.0999,0.1089,-0.0028,227.2594168,27.7243044,135.9626043,-15.7444201,267.325,659.942,1.3311015013510003e+18,1331p015_ac51-000254,1331p015_ac51,254.0,15.303,0.041,26.4,1.012,14.938,0.075,14.5,1.039,12.15,0.368,3.0,1.118,8.994,,-0.5,1.126,1.052,1.0,0.0,0.0,0.0,0.0,0.0,0000,133.7899773,0.9841788,0.1162,0.1245,0.0117,-90.0,306.0,432.0,336.0,1.01,1.037,1.119,1.126,1.051,2N000,0000,s,0.0,00nn,AACU,7.0,0000,23.0,23.0,14.0,23.0,0.0,11.0,0.0,11.0,23.369,22.958,10.959,10.854,0.0,,0.0,,0.0,,0.0,,1.3311015013510003e+18,0.0,119.94,4.5479,14.119,3.019,0.031,66.799,4.6163,36.585,3.792,0.095,218.8,74.158,2279.245,29.598,5.46,-10.797,20.018,714.597,10.492,2.921,14.79,0.032,1.0,0.261,14.551,0.072,1.0,0.319,11.386,,32.0,0.825,8.247,,32.0,0.576,15.668,0.041,1.0,15.507,0.091,1.0,12.714,,32.0,11.442,,32.0,15.051,0.032,1.0,14.87,0.072,1.0,12.211,,32.0,8.823,,32.0,14.533,0.026,1.0,14.405,0.062,1.0,11.841,,32.0,8.345,,32.0,14.062,0.021,1.0,14.007,0.053,1.0,12.311,0.523,1.0,7.964,,32.0,13.724,0.019,1.0,13.715,0.048,1.0,12.119,0.526,1.0,7.695,,32.0,13.523,0.018,1.0,13.549,0.049,17.0,11.96,0.537,1.0,7.505,,32.0,13.393,0.019,1.0,13.455,0.052,17.0,11.063,,32.0,7.319,,32.0,13.26,0.019,1.0,13.356,0.054,17.0,10.946,,32.0,7.137,,32.0,15.307,0.133,0.028,0.82,22.0,0.89,55317.3817028,55509.5016764,55409.32847797,14.931,0.39,0.081,0.66,22.0,3.57,55317.3817028,55509.5016764,55409.32847797,12.154,1.388,0.418,0.83,6.0,0.24,55317.3817028,55318.50622591,55317.92893252,,,,0.582,4.0,1.09,55317.3817028,55318.50622591,55317.92893252,-22.0,-31.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16012617699051.0,133.79,0.9841799999999999,0.10800000000000001,0.386,ELG+PG
