,cntr_01,dist_x,pang_x,ra_01,dec_01,major_01,designation,ra_x,dec_x,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,cntr,source_id,coadd_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,rel,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w3cc_map,w3cc_map_str,w4cc_map,w4cc_map_str,best_use_cntr,ngrp,w1flux,w1sigflux,w1sky,w1sigsk,w1conf,w2flux,w2sigflux,w2sky,w2sigsk,w2conf,w3flux,w3sigflux,w3sky,w3sigsk,w3conf,w4flux,w4sigflux,w4sky,w4sigsk,w4conf,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w3mag,w3sigm,w3flg,w3mcor,w4mag,w4sigm,w4flg,w4mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w3mag_1,w3sigm_1,w3flg_1,w4mag_1,w4sigm_1,w4flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w3mag_2,w3sigm_2,w3flg_2,w4mag_2,w4sigm_2,w4flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w3mag_3,w3sigm_3,w3flg_3,w4mag_3,w4sigm_3,w4flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w3mag_4,w3sigm_4,w3flg_4,w4mag_4,w4sigm_4,w4flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w3mag_5,w3sigm_5,w3flg_5,w4mag_5,w4sigm_5,w4flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w3mag_6,w3sigm_6,w3flg_6,w4mag_6,w4sigm_6,w4flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w3mag_7,w3sigm_7,w3flg_7,w4mag_7,w4sigm_7,w4flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,w3mag_8,w3sigm_8,w3flg_8,w4mag_8,w4sigm_8,w4flg_8,w1magp,w1sigp1,w1sigp2,w1k,w1ndf,w1mlq,w1mjdmin,w1mjdmax,w1mjdmean,w2magp,w2sigp1,w2sigp2,w2k,w2ndf,w2mlq,w2mjdmin,w2mjdmax,w2mjdmean,w3magp,w3sigp1,w3sigp2,w3k,w3ndf,w3mlq,w3mjdmin,w3mjdmax,w3mjdmean,w4magp,w4sigp1,w4sigp2,w4k,w4ndf,w4mlq,w4mjdmin,w4mjdmax,w4mjdmean,rho12,rho23,rho34,q12,q23,q34,xscprox,w1rsemi,w1ba,w1pa,w1gmag,w1gerr,w1gflg,w2rsemi,w2ba,w2pa,w2gmag,w2gerr,w2gflg,w3rsemi,w3ba,w3pa,w3gmag,w3gerr,w3gflg,w4rsemi,w4ba,w4pa,w4gmag,w4gerr,w4gflg,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,htm20,ra_y,dec_y,z1,z2,spec_type
0,1.0,0.555989,23.060798,138.282,-0.66673,5.0,J091307.57-003959.7,138.2815605,-0.6665879,0.0849,0.092,-0.0081,231.556923,30.6967396,140.9311273,-15.9837657,388.267,302.791,1.376100001351e+18,1376p000_ac51-000154,1376p000_ac51,154.0,14.954,0.035,30.9,1.301,14.785,0.067,16.2,0.8828,11.978,0.281,3.9,1.085,8.589,,0.8,0.9385,1.062,1.0,0.0,0.0,0.0,0.0,0.0,0000,138.2815574,-0.6665858,0.1043,0.1119,-0.0113,-262.0,244.0,153.0,269.0,1.297,0.8833,1.086,0.9384,1.061,1N000,0000,,0.0,00nn,AABU,7.0,0000,24.0,24.0,22.0,24.0,1.0,11.0,0.0,11.0,24.508,24.448,10.988,11.191,0.0,,0.0,,0.0,,0.0,,1.376100001351e+18,0.0,165.31,5.3462,14.248,3.022,0.0,76.94,4.7417,36.681,3.763,0.076,256.41,66.28,2244.527,27.643,2.915,17.335,20.401,709.511,10.975,0.365,14.638,0.062,1.0,0.261,14.523,0.08,1.0,0.319,11.529,,32.0,0.825,8.026,,32.0,0.576,15.446,0.073,0.0,15.422,0.098,0.0,12.786,,32.0,9.128,,32.0,14.899,0.062,1.0,14.842,0.08,1.0,12.354,,32.0,8.602,,32.0,14.54,0.058,1.0,14.463,0.073,1.0,12.111,,32.0,8.214,,32.0,14.209,0.053,1.0,14.114,0.067,1.0,11.929,,32.0,7.893,,32.0,13.849,0.046,1.0,13.738,0.058,1.0,11.752,,32.0,7.624,,32.0,13.452,0.038,1.0,13.328,0.047,1.0,11.528,,32.0,7.382,,32.0,13.046,0.03,1.0,12.919,0.038,1.0,11.964,0.511,1.0,7.167,,32.0,12.677,0.025,1.0,12.554,0.031,1.0,11.552,0.402,1.0,7.004,,32.0,14.956,0.124,0.025,0.885,23.0,2.93,55322.14465542,55514.13105209,55418.16550207,14.754,0.178,0.036,0.748,23.0,0.25,55322.14465542,55514.13105209,55418.16550207,11.995,1.015,0.306,0.679,9.0,0.93,55322.14465542,55323.26930456,55322.71599784,9.929,3.492,1.053,0.741,6.0,0.09,55322.14465542,55323.26930456,55322.71599784,16.0,-18.0,-73.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,10517604742793.0,138.282,-0.66673,0.163,0.321,PG+ELG
1,2.0,0.210817,79.073588,129.695,-0.38179,5.0,J083846.92-002254.4,129.6955175,-0.3817789,0.0937,0.1003,0.005,226.2835223,23.4987484,132.2441878,-18.1904191,3066.462,1048.441,1.300100001351016e+18,1300p000_ac51-015843,1300p000_ac51,15843.0,15.284,0.037,29.1,1.128,15.086,0.079,13.8,0.9071,12.358,0.512,2.1,1.043,8.315,,1.3,0.9358,1.006,1.0,0.0,0.0,0.0,0.0,0.0,0000,129.6955191,-0.3817852,0.1138,0.1169,-0.0186,114.0,301.0,-348.0,324.0,1.125,0.9064,1.043,0.936,1.004,1N001,0000,,0.0,00nn,AACU,7.0,0000,23.0,23.0,15.0,23.0,1.0,11.0,0.0,11.0,22.598,23.255,11.195,11.306,0.0,,0.0,,0.0,,0.0,,1.300100001351016e+18,0.0,122.05,4.2014,13.041,2.88,0.263,58.284,4.2311,34.897,3.759,0.147,180.67,85.216,2154.879,30.535,3.268,29.27,22.779,667.856,11.436,2.998,15.086,0.047,1.0,0.261,14.802,0.14,1.0,0.319,12.105,0.468,1.0,0.825,7.561,,32.0,0.576,15.833,0.053,1.0,15.681,0.168,1.0,12.766,,32.0,8.662,,32.0,15.347,0.047,1.0,15.121,0.14,1.0,12.93,0.468,1.0,8.137,,32.0,15.106,0.048,1.0,14.845,0.139,1.0,12.516,0.406,1.0,7.806,,32.0,14.976,0.053,1.0,14.691,0.151,1.0,12.153,0.359,1.0,7.503,,32.0,14.9,0.059,1.0,14.614,0.17,1.0,11.903,0.34,1.0,7.201,,32.0,14.838,0.066,17.0,14.594,0.198,1.0,11.774,0.354,1.0,6.976,,32.0,14.753,0.071,17.0,14.6,0.231,1.0,11.706,0.382,1.0,6.798,,32.0,14.646,0.074,17.0,14.629,0.272,17.0,11.69,0.428,1.0,6.631,,32.0,15.279,0.156,0.033,0.789,22.0,3.04,55313.94115322,55506.1953477,55414.21041304,15.098,0.358,0.075,0.874,22.0,1.05,55313.94115322,55506.1953477,55414.21041304,12.396,1.939,0.585,0.658,6.0,1.18,55313.94115322,55314.93349892,55314.42229439,9.373,2.264,0.683,0.727,6.0,0.18,55313.94115322,55314.93349892,55314.42229439,-32.0,-4.0,-53.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,10034170183873.0,129.695,-0.38179,0.418,0.738,PG+ELG
2,3.0,0.195538,21.605157,136.639,-0.35203,5.0,J090633.32-002107.1,136.63885,-0.3519795,0.0915,0.0984,-0.0052,230.2387317,29.4734733,139.2031511,-16.1851837,728.787,1126.459,1.3611000013510239e+18,1361p000_ac51-023824,1361p000_ac51,23824.0,15.153,0.038,28.5,0.9491,14.847,0.07,15.5,0.8709,11.896,0.317,3.4,1.008,8.728,,0.0,0.8333,0.9097,1.0,0.0,0.0,0.0,0.0,0.0,0000,136.6388483,-0.3519766,0.1062,0.1145,0.0134,-99.0,276.0,197.0,306.0,0.9477,0.8704,1.008,0.8333,0.9092,1N000,0000,,0.0,00nn,AABU,7.0,0000,23.0,23.0,19.0,23.0,0.0,11.0,0.0,11.0,23.488,23.483,11.81,11.909,0.0,,0.0,,0.0,,0.0,,1.3611000013510239e+18,0.0,137.62,4.8222,13.908,3.019,0.017,72.622,4.6751,36.663,3.804,0.121,276.48,80.804,2242.658,29.711,4.082,0.5921,25.27,704.824,12.353,1.37,15.099,0.052,1.0,0.261,14.703,0.116,1.0,0.319,11.541,0.27,1.0,0.825,8.139,,32.0,0.576,15.743,0.054,0.0,15.533,0.133,0.0,13.108,0.383,0.0,9.225,,32.0,15.36,0.052,1.0,15.022,0.116,1.0,12.366,0.27,1.0,8.715,,32.0,15.209,0.06,1.0,14.772,0.121,1.0,11.934,0.237,1.0,8.268,,32.0,15.116,0.068,1.0,14.645,0.133,1.0,11.677,0.231,1.0,7.881,,32.0,15.033,0.075,1.0,14.597,0.153,1.0,11.523,0.241,1.0,7.552,,32.0,14.944,0.082,1.0,14.581,0.179,1.0,11.419,0.258,1.0,7.262,,32.0,14.815,0.084,1.0,14.546,0.202,1.0,11.311,0.272,1.0,7.0,,32.0,14.607,0.08,1.0,14.428,0.209,1.0,11.169,0.274,1.0,6.767,,32.0,15.15,0.187,0.039,0.84,22.0,8.71,55320.55700505,55512.54391163,55420.68385913,14.848,0.265,0.055,0.849,22.0,0.51,55320.55700505,55512.54391163,55420.68385913,11.899,0.844,0.254,0.746,7.0,0.04,55320.55700505,55321.5492228,55321.03807648,11.935,,,0.757,4.0,0.45,55320.55700505,55321.5492228,55321.03807648,5.0,9.0,69.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,237206010.0,0.697,-47.2,1.0,16.92,0.16,16.545,0.27,14.858,,10514961709155.0,136.639,-0.35203,0.282,0.449,PG+ELG
3,4.0,0.208239,-6.252659,132.368,0.1636,5.0,J084928.24+000949.1,132.3677037,0.1636575,0.0805,0.0883,0.0163,227.2455169,26.0824425,134.7832371,-16.9340015,3990.742,2476.485,1.3311000013510395e+18,1331p000_ac51-039397,1331p000_ac51,39397.0,14.917,0.033,32.7,1.704,14.939,0.076,14.2,1.024,12.255,0.403,2.7,1.017,8.542,,-0.6,0.8744,1.224,2.0,1.0,0.0,0.0,0.0,0.0,0000,132.3677064,0.1636543,0.0867,0.0932,0.0099,220.0,221.0,12.0,246.0,2.566,1.109,1.018,0.875,1.541,1N001,0000,,0.0,nnnn,AACU,7.0,0000,22.0,22.0,16.0,22.0,1.0,11.0,0.0,11.0,21.844,22.482,11.301,11.239,0.0,,0.0,,0.0,,0.0,,1.3311000013510395e+18,0.0,171.13,5.2259,13.861,2.933,0.062,66.727,4.6891,35.916,3.864,0.124,198.53,73.772,2217.666,28.045,0.183,-17.595,30.34,692.943,12.241,0.407,14.443,0.022,1.0,0.261,14.442,0.072,1.0,0.319,11.543,,32.0,0.825,8.536,,32.0,0.576,15.304,0.028,1.0,15.404,0.093,1.0,12.883,,32.0,9.526,,32.0,14.704,0.022,1.0,14.761,0.072,1.0,12.368,,32.0,9.112,,32.0,14.311,0.021,1.0,14.356,0.064,1.0,12.081,,32.0,8.787,,32.0,14.029,0.02,1.0,14.08,0.062,1.0,11.997,,32.0,8.516,,32.0,13.843,0.021,1.0,13.9,0.063,1.0,12.021,,32.0,8.279,,32.0,13.736,0.022,1.0,13.799,0.068,1.0,12.017,,32.0,9.687,,32.0,13.669,0.024,1.0,13.759,0.076,1.0,11.942,,32.0,7.765,,32.0,13.62,0.025,1.0,13.758,0.087,1.0,11.942,,32.0,7.542,,32.0,14.917,0.153,0.033,0.857,21.0,8.94,55316.32301396,55508.44375311,55412.38341282,14.949,0.184,0.039,0.646,21.0,0.37,55316.32301396,55508.44375311,55412.38341282,12.257,1.449,0.437,0.653,6.0,0.91,55316.32301396,55317.31523233,55316.80408568,,,,0.582,5.0,0.01,55316.32301396,55317.31523233,55316.80408568,36.0,-23.0,-8.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16012188576226.0,132.368,0.1636,0.128,0.603,PG+ELG
4,5.0,0.248519,18.671127,132.61,0.11972,5.0,J085026.43+000711.2,132.6101521,0.1197854,0.0791,0.0846,-0.008,227.4245919,26.2691987,135.0393359,-16.9080201,3356.011,2361.62,1.331100001351037e+18,1331p000_ac51-036944,1331p000_ac51,36944.0,14.901,0.034,32.0,1.077,14.66,0.059,18.3,0.823,11.768,,1.7,0.8498,8.981,,-0.3,0.8866,0.9199,1.0,0.0,0.0,0.0,0.0,0.0,0000,132.6101544,0.1197838,0.0866,0.0922,0.0053,143.0,221.0,-83.0,243.0,1.074,0.8246,0.8497,0.8866,0.9195,1N000,0000,,0.0,00nn,AAUU,3.0,0000,23.0,23.0,21.0,23.0,0.0,11.0,0.0,11.0,24.347,24.808,11.849,12.369,0.0,,0.0,,0.0,,0.0,,1.331100001351037e+18,0.0,173.59,5.4178,13.502,2.989,0.12,86.283,4.7175,35.591,3.682,0.14,144.94,82.993,2216.313,30.78,7.636,-6.8244,20.249,690.724,10.594,2.74,14.814,0.05,0.0,0.261,14.614,0.118,0.0,0.319,11.504,,32.0,0.825,8.165,,32.0,0.576,15.496,0.053,0.0,15.414,0.13,0.0,12.822,,32.0,9.173,,32.0,15.075,0.05,0.0,14.933,0.118,0.0,12.329,,32.0,8.741,,32.0,14.898,0.055,1.0,14.726,0.127,1.0,11.923,,32.0,8.395,,32.0,14.801,0.062,1.0,14.617,0.143,1.0,11.668,,32.0,8.099,,32.0,14.722,0.069,17.0,14.548,0.16,1.0,11.524,,32.0,7.84,,32.0,14.643,0.076,17.0,14.503,0.182,1.0,11.47,,32.0,7.605,,32.0,14.582,0.084,17.0,14.485,0.207,1.0,11.451,,32.0,7.388,,32.0,14.553,0.094,17.0,14.492,0.24,1.0,11.407,,32.0,7.19,,32.0,14.901,0.144,0.03,0.788,22.0,6.82,55316.58762249,55508.70823389,55408.50021623,14.661,0.254,0.053,0.804,22.0,1.29,55316.58762249,55508.70823389,55408.50021623,12.613,1.98,0.597,0.746,5.0,0.48,55316.58762249,55317.57996822,55317.11079683,,,,0.65,3.0,0.6,55316.58762249,55317.57996822,55317.11079683,3.0,11.0,-68.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16012202820061.0,132.61,0.11972000000000001,0.313,0.608,PG+ELG
5,6.0,3.057717,35.879482,134.03,0.15244,5.0,J085607.26+000911.2,134.0302878,0.1531282,0.0937,0.1024,0.0162,228.2046331,27.5077078,136.4505706,-16.4714632,3598.112,2448.917,1.3461000013510374e+18,1346p000_ac51-037313,1346p000_ac51,37313.0,15.283,0.039,28.1,1.674,14.886,0.072,15.1,0.9814,11.517,0.242,4.5,0.9435,8.933,,0.0,1.004,1.209,1.0,0.0,0.0,0.0,0.0,0.0,0000,134.0302925,0.1531377,0.12,0.1301,0.0175,173.0,311.0,406.0,344.0,1.673,0.9804,0.9446,1.004,1.208,1N000,0000,,0.0,00nn,AABU,7.0,0000,23.0,23.0,19.0,23.0,2.0,11.0,0.0,11.0,22.283,22.721,11.065,11.725,0.0,,0.0,,0.0,,0.0,,1.3461000013510374e+18,0.0,122.11,4.3378,13.501,2.956,0.266,70.084,4.6438,36.293,3.663,0.226,391.93,87.443,2236.365,31.604,2.409,0.66114,20.85,700.711,10.997,2.393,15.016,0.065,1.0,0.261,14.664,0.094,1.0,0.319,11.587,0.296,1.0,0.825,8.118,,32.0,0.576,15.771,0.074,0.0,15.489,0.105,0.0,13.006,0.368,0.0,9.306,,32.0,15.277,0.065,1.0,14.983,0.094,1.0,12.412,0.296,1.0,8.694,,32.0,15.065,0.069,1.0,14.79,0.102,1.0,12.128,0.292,1.0,8.255,,32.0,14.957,0.077,1.0,14.699,0.114,1.0,12.006,0.321,1.0,8.026,,32.0,14.863,0.085,1.0,14.611,0.125,1.0,11.989,0.379,1.0,7.925,,32.0,14.745,0.089,1.0,14.525,0.136,1.0,12.029,0.462,1.0,7.886,,32.0,14.604,0.091,1.0,14.442,0.146,1.0,11.307,,32.0,7.815,,32.0,14.435,0.09,1.0,14.317,0.15,1.0,11.255,,32.0,7.667,,32.0,15.292,0.163,0.034,0.806,22.0,3.34,55317.91079253,55510.03089272,55418.11575951,14.808,0.21,0.044,0.796,22.0,3.86,55317.91079253,55510.03089272,55418.11575951,11.509,1.033,0.311,0.797,8.0,2.29,55317.91079253,55318.9030113,55318.3918645,13.386,,,0.892,4.0,0.07,55317.91079253,55318.9030113,55318.3918645,2.0,-26.0,-54.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16011802627322.0,134.03,0.15244000000000002,0.16699999999999998,0.158,PG+ELG
6,7.0,0.347588,-29.056856,140.142,0.97341,5.0,J092034.03+005824.5,140.1418231,0.9734944,0.1118,0.1219,0.0221,231.0985899,33.1460019,142.2314027,-13.8456129,3437.969,631.887,1.4061015013510103e+18,1406p015_ac51-010390,1406p015_ac51,10390.0,15.568,0.046,23.5,1.104,15.097,0.077,14.0,0.9295,11.937,,1.8,0.9674,8.727,,0.5,1.075,1.015,1.0,0.0,0.0,0.0,0.0,0.0,0000,140.1418294,0.9735,0.1309,0.1413,0.0119,688.0,371.0,746.0,410.0,1.098,0.9247,0.9672,1.075,1.011,1N001,0000,,0.0,00nn,AAUU,3.0,0000,24.0,24.0,14.0,24.0,0.0,11.0,0.0,11.0,23.536,23.304,10.925,11.049,0.0,,0.0,,0.0,,0.0,,1.4061015013510103e+18,0.0,93.917,3.9885,13.98,2.794,0.0,57.726,4.118,37.748,3.668,0.067,127.78,69.214,2368.041,28.82,3.44,10.302,20.448,754.182,11.563,1.625,15.329,0.045,1.0,0.261,15.116,0.128,1.0,0.319,11.516,,32.0,0.825,8.132,,32.0,0.576,16.025,0.048,0.0,15.859,0.135,0.0,12.838,,32.0,9.218,,32.0,15.59,0.045,1.0,15.435,0.128,1.0,12.341,,32.0,8.708,,32.0,15.406,0.048,1.0,15.313,0.147,1.0,12.04,,32.0,8.263,,32.0,15.283,0.052,1.0,15.299,0.18,1.0,11.867,,32.0,7.901,,32.0,15.122,0.053,1.0,15.324,0.222,1.0,11.783,,32.0,7.609,,32.0,14.916,0.052,1.0,15.356,0.271,1.0,11.708,,32.0,7.365,,32.0,14.692,0.049,1.0,15.333,0.309,1.0,11.59,,32.0,7.172,,32.0,14.474,0.046,1.0,15.266,0.334,1.0,11.447,,32.0,7.034,,32.0,15.575,0.261,0.053,0.8,23.0,10.12,55323.46820652,55515.32102529,55427.32242156,15.113,0.395,0.081,0.802,23.0,1.74,55323.46820652,55515.32102529,55427.32242156,12.735,1.876,0.566,0.545,8.0,0.29,55323.46820652,55324.46042412,55323.94927787,10.333,6.353,1.915,0.638,6.0,0.19,55323.46820652,55324.46042412,55323.94927787,8.0,-13.0,-59.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,15531807074363.0,140.142,0.97341,0.586,0.336,PG+ELG
7,8.0,0.249416,10.139829,135.329,1.22984,5.0,J090119.03+011347.6,135.3293022,1.2299082,0.0885,0.0943,-0.0061,227.9084058,29.1746292,137.4168521,-15.0636642,197.557,1303.338,1.3461015013510236e+18,1346p015_ac51-023527,1346p015_ac51,23527.0,15.142,0.037,29.7,0.9555,14.783,0.067,16.3,0.8724,11.803,0.282,3.8,0.8588,8.936,,0.0,0.808,0.8849,1.0,0.0,0.0,0.0,0.0,0.0,0000,135.329298,1.2299052,0.1071,0.1105,-0.017,-261.0,279.0,-113.0,298.0,0.9527,0.8719,0.859,0.808,0.8839,1N000,0000,,0.0,00nn,AABU,7.0,0000,23.0,23.0,19.0,23.0,0.0,11.0,0.0,11.0,23.851,23.604,10.924,11.846,0.0,,0.0,,0.0,,0.0,,1.3461015013510236e+18,0.0,139.05,4.6775,14.018,2.902,0.007,77.077,4.7387,37.065,3.747,0.23,301.04,78.222,2319.089,29.501,2.836,-0.47613,21.114,731.756,11.374,1.511,14.968,0.033,0.0,0.261,14.711,0.096,0.0,0.319,11.798,0.485,0.0,0.825,8.478,,32.0,0.576,15.674,0.036,0.0,15.51,0.108,0.0,12.393,,32.0,9.426,,32.0,15.229,0.033,0.0,15.03,0.096,0.0,12.623,0.485,0.0,9.054,,32.0,15.036,0.035,0.0,14.84,0.105,0.0,12.404,0.512,0.0,10.367,,32.0,14.933,0.04,1.0,14.772,0.123,1.0,11.542,,32.0,8.498,,32.0,14.834,0.048,1.0,14.705,0.14,1.0,11.418,,32.0,8.204,,32.0,14.702,0.055,1.0,14.54,0.142,1.0,11.273,,32.0,8.075,,32.0,14.549,0.054,1.0,14.319,0.134,1.0,11.101,,32.0,7.878,,32.0,14.417,0.053,1.0,14.146,0.131,1.0,10.923,,32.0,7.695,,32.0,15.139,0.153,0.032,0.817,22.0,4.06,55318.8371775,55510.82420792,55418.99289687,14.785,0.239,0.05,0.87,22.0,0.33,55318.8371775,55510.82420792,55418.99289687,11.804,0.56,0.169,0.741,10.0,0.08,55318.8371775,55319.82952285,55319.31831854,,,,,2.0,0.38,55318.8371775,55319.82952285,55319.31831854,10.0,-51.0,-74.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16286633976722.0,135.329,1.22984,0.48700000000000004,0.247,PG+ELG
8,9.0,0.725333,-23.263917,138.941,1.33144,5.0,J091545.72+011953.8,138.9405004,1.3316251,0.0906,0.098,0.0007,229.9816774,32.3164822,140.9409448,-13.8797437,2623.023,1569.377,1.391101501351016e+18,1391p015_ac51-015868,1391p015_ac51,15868.0,15.243,0.037,29.2,0.8719,15.028,0.078,13.9,0.9296,11.361,0.161,6.7,1.163,8.361,,1.9,1.093,0.9716,1.0,0.0,0.0,0.0,0.0,0.0,0000,138.9405086,1.3316085,0.1223,0.1303,-0.0096,342.0,301.0,-625.0,330.0,0.8604,0.9279,1.161,1.093,0.9669,1N001,0000,,0.0,11nn,AABU,7.0,0000,25.0,25.0,15.0,24.0,1.0,12.0,0.0,12.0,25.561,25.474,12.916,12.782,0.0,,0.0,,0.0,,0.0,,1.391101501351016e+18,0.0,126.72,4.335,13.864,2.814,0.079,61.517,4.44,37.932,3.829,0.232,452.37,67.2,2356.042,28.726,5.688,35.064,18.331,751.749,10.416,1.447,15.232,0.069,0.0,0.261,15.298,0.179,0.0,0.319,11.325,0.214,0.0,0.825,8.359,,32.0,0.576,15.861,0.068,0.0,15.877,0.171,0.0,12.727,0.258,0.0,9.285,,32.0,15.493,0.069,0.0,15.617,0.179,0.0,12.15,0.214,0.0,8.935,,32.0,15.398,0.082,0.0,15.848,0.28,0.0,11.847,0.21,0.0,8.632,,32.0,15.392,0.101,1.0,15.733,,32.0,11.729,0.233,1.0,11.895,,32.0,15.369,0.118,1.0,16.157,,32.0,11.755,0.285,1.0,8.193,,32.0,15.248,0.124,1.0,15.983,,32.0,11.914,0.387,1.0,7.956,,32.0,15.04,0.119,1.0,15.823,,32.0,11.409,,32.0,7.738,,32.0,14.842,0.114,1.0,15.672,,32.0,11.53,,32.0,7.538,,32.0,15.243,0.142,0.028,0.861,24.0,2.05,55322.14503741,55514.1306701,55414.35114942,15.056,0.387,0.079,0.737,23.0,1.94,55322.14503741,55514.1306701,55418.16550208,11.479,0.32,0.092,0.61,11.0,0.38,55322.14503741,55323.2696866,55322.72390534,9.14,1.476,0.426,0.679,8.0,0.08,55322.14503741,55323.2696866,55322.72390534,32.0,-13.0,22.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,15532356019350.0,138.941,1.33144,0.593,0.40399999999999997,PG+ELG
9,10.0,0.774255,-152.002123,130.737,1.55957,5.0,J084256.89+013333.7,130.737069,1.5593801,0.091,0.0964,0.0089,224.9997707,25.366055,132.747994,-16.0407894,340.186,2165.908,1.300101501351026e+18,1300p015_ac51-025865,1300p015_ac51,25865.0,15.227,0.038,28.7,0.883,14.905,0.069,15.8,0.9141,12.13,,1.6,1.044,9.03,,0.0,0.883,0.9167,1.0,0.0,0.0,0.0,0.0,0.0,0000,130.7370711,1.5593772,0.098,0.1034,0.0149,143.0,264.0,-168.0,292.0,0.8827,0.9132,1.044,0.883,0.9163,1N000,0000,,0.0,00nn,AAUU,3.0,0000,25.0,25.0,18.0,25.0,1.0,12.0,0.0,12.0,27.505,27.575,14.975,14.609,0.0,,0.0,,0.0,,0.0,,1.300101501351026e+18,0.0,128.6,4.4873,13.574,2.814,0.081,68.882,4.3661,36.056,3.743,0.143,98.808,62.054,2264.495,28.243,3.808,-0.4226,19.366,708.591,11.04,1.285,15.084,0.058,0.0,0.261,14.952,0.151,0.0,0.319,11.826,,32.0,0.825,8.442,,32.0,0.576,15.767,0.062,0.0,15.696,0.173,0.0,13.069,,32.0,9.572,,32.0,15.345,0.058,0.0,15.271,0.151,0.0,12.651,,32.0,9.018,,32.0,15.191,0.065,1.0,15.159,0.169,1.0,12.412,,32.0,8.64,,32.0,15.128,0.076,1.0,15.193,0.211,1.0,12.27,,32.0,8.393,,32.0,15.075,0.087,1.0,15.261,0.267,1.0,12.209,,32.0,8.183,,32.0,15.009,0.097,1.0,15.291,0.323,1.0,12.186,,32.0,7.98,,32.0,14.936,0.105,1.0,15.307,0.381,1.0,12.02,,32.0,7.795,,32.0,14.869,0.114,1.0,15.311,0.44,1.0,11.865,,32.0,7.65,,32.0,15.239,0.089,0.018,0.737,24.0,0.23,55314.33844807,55506.59175059,55406.64132456,14.91,0.314,0.063,0.75,24.0,1.24,55314.33844807,55506.59175059,55406.64132456,14.1,5.581,1.611,0.503,6.0,1.8,55314.33844807,55315.33079375,55314.81259142,10.55,3.894,1.124,0.796,6.0,0.0,55314.33844807,55315.33079375,55314.81259142,-2.0,-35.0,20.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16014511403446.0,130.737,1.5595700000000001,0.41600000000000004,0.35,PG+ELG
